BatchSize,J,MinVanillaIw,MinNormIw,ESSClassic,eRenyi2,MaxVanillaIw,AvgEpLen,Bound,EpsThisIter,ESSRenyi,VarNormIw,AvgVanillaIw,VarJ,AvgDiscRet,IterType,AvgRet,VanillaAvgRet,VarRet,MaxNormIw,VarDiscRet,Delta,VarVanillaIw,AvgNormIw
300,-7.7479377,1.0,0.01,100.0,1.0,1.0,200.0,-8.512262,100,300.0,3.5044917e-18,1.0,7.0989947,-7.74793776686805,2,-7.74793776686805,-7.74793776686805,50.90477309884734,0.01,50.90477309884734,0.9,,0.009999998
300,-7.0654593,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-7.605919,100,300.0,2.179301e-19,1.0,6.8937483,-6.38298050885149,2,-6.38298050885149,-6.38298050885149,44.1618796763505,0.005,44.1618796763505,0.9,,0.0049999994
400,nan,0.014355093,nan,nan,nan,inf,200.0,nan,100,nan,nan,inf,nan,-6.663692071536831,,-7.6033976554764795,-7.6033976554764795,55.75791301441812,nan,41.82971247119986,0.9,nan,nan
400,-7.3723326,6.620787e-07,1.7168579e-09,259.771178990287,1.5045215,1.9886284,200.0,-7.8505177,100,265.8652620693027,3.382311e-06,0.9640849,8.267519,-7.396283543419279,1,-7.396283543419279,-7.396283543419279,49.898878656634814,0.005156777,49.898878656634814,0.9,0.5029955,0.0025
400,-8.360898,1.0,0.01,100.0,1.0,1.0,200.0,-9.124355,100,400.0,3.5044917e-18,1.0,7.340936,-8.360898496934707,2,-8.360898496934707,-8.360898496934707,54.4336876857355,0.01,54.4336876857355,0.9,,0.009999998
400,-8.113691,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.66195,100,400.0,2.179301e-19,1.0,7.122338,-7.866483133118045,2,-7.866483133118045,-7.866483133118045,47.923077288456774,0.005,47.923077288456774,0.9,,0.0049999994
400,-7.8689747,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.316666,100,400.0,5.4391416e-20,1.0,6.86273,-7.379542470577486,2,-7.379542470577486,-7.379542470577486,39.875202189633264,0.0033333334,39.875202189633264,0.9,,0.0033333336
400,-6.54992,,,85.43433990811289,4.3420243,6.0973043,200.0,-7.357815,100,92.12292929243011,2.3069917e-05,0.9215712,13.67813,-6.383809040223289,1,-6.383809040223289,-6.383809040223289,38.42243469023821,0.016540514,38.42243469023821,0.9,3.1349006,0.0025
400,-7.4179935,1.0,0.01,100.0,1.0,1.0,200.0,-8.143408,100,400.0,3.5044917e-18,1.0,6.089906,-7.417993841403433,2,-7.417993841403433,-7.417993841403433,37.461571633778966,0.01,37.461571633778966,0.9,,0.009999998
400,-7.8318386,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.378364,100,400.0,2.179301e-19,1.0,6.721109,-8.245682854235021,2,-8.245682854235021,-8.245682854235021,53.45163997320631,0.005,53.45163997320631,0.9,,0.0049999994
400,-7.4465456,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-7.8927813,100,400.0,5.4391416e-20,1.0,6.700899,-6.67595954128555,2,-6.67595954128555,-6.67595954128555,43.90788564849448,0.0033333334,43.90788564849448,0.9,,0.0033333336
500,nan,0.1640069,nan,nan,nan,inf,200.0,nan,100,nan,nan,inf,nan,-7.490934967031166,,-6.383809040223289,-6.383809040223289,38.42243469023821,nan,53.77439637953019,0.9,nan,nan
500,-2.5916526,,,2.3316270452986005,110.071106,107.03121,200.0,-6.2298837,100,4.542518180885603,0.00085548096,0.42306334,28.067364,-7.041526627551723,1,-7.041526627551723,-7.041526627551723,48.23333831412518,0.505982,48.23333831412518,0.9,38.279045,0.002
500,-8.516836,1.0,0.01,100.0,1.0,1.0,200.0,-9.268852,100,500.0,3.5044917e-18,1.0,6.736067,-8.516835845146598,2,-8.516835845146598,-8.516835845146598,45.83292848690433,0.01,45.83292848690433,0.9,,0.009999998
500,-8.252085,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.789142,100,500.0,2.179301e-19,1.0,6.786367,-7.987335249846121,2,-7.987335249846121,-7.987335249846121,47.06543679263838,0.005,47.06543679263838,0.9,,0.0049999994
500,-7.7645826,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.210598,100,500.0,5.4391416e-20,1.0,6.8560553,-6.789576958003428,2,-6.789576958003428,-6.789576958003428,47.96057262515583,0.0033333334,47.96057262515583,0.9,,0.0033333336
500,-7.658416,1.0,0.0025,400.0,1.0,1.0,200.0,-8.044676,100,500.0,5.434597e-20,1.0,6.7708116,-7.339916113433921,2,-7.339916113433921,-7.339916113433921,42.65031890605248,0.0025,42.65031890605248,0.9,,0.0024999997
500,-5.5702143,,,39.01657605509311,11.964607,16.889877,200.0,-6.765232,100,41.78992172679303,4.735498e-05,0.9158588,19.273386,-8.27465016089821,1,-8.27465016089821,-8.27465016089821,50.78458347829534,0.036883146,50.78458347829534,0.9,9.930308,0.0019999999
500,-8.01024,1.0,0.01,100.0,1.0,1.0,200.0,-8.784111,100,500.0,3.5044917e-18,1.0,7.216007,-8.010238825965082,2,-8.010238825965082,-8.010238825965082,52.59672651538417,0.01,52.59672651538417,0.9,,0.009999998
