EpsThisIter,Delta,AvgEpLen,VarNormIw,J,BatchSize,AvgNormIw,ESSClassic,AvgVanillaIw,VarDiscRet,MaxVanillaIw,AvgDiscRet,IterType,VarRet,ESSRenyi,MaxNormIw,VanillaAvgRet,VarVanillaIw,AvgRet,MinVanillaIw,MinNormIw,eRenyi2,Bound,VarJ
100,0.9,200.0,2.179301e-19,-7.8249617,400,0.0049999994,200.00000010221265,1.0,44.27889817310972,1.0,-8.001868844095904,2,44.27889817310972,400.0,0.005,-8.001868844095904,,-8.001868844095904,1.0,0.005,1.0,-8.371382,7.0145206
100,0.9,200.0,5.4391416e-20,-7.862775,400,0.0033333336,299.999969473632,1.0,46.38355415193991,1.0,-7.938399387354327,2,46.38355415193991,400.0,0.0033333334,-7.938399387354327,,-7.938399387354327,1.0,0.0033333334,1.0,-8.308925,6.936265
100,0.9,200.0,nan,nan,500,nan,nan,inf,51.049650460714496,inf,-7.7182711092123695,,62.739952346802056,nan,nan,-7.980217054757563,nan,-7.980217054757563,0.0123779625,nan,nan,nan,nan
100,0.9,200.0,4.9607606e-05,-4.944258,500,0.002,37.3773166244148,0.9827345,77.53646185537421,18.8679,-9.494582817427714,1,77.53646185537421,35.950541948138834,0.038398776,-9.494582817427714,11.977348,-9.494582817427714,,,13.907996,-6.5415907,15.260208
100,0.9,200.0,3.5044917e-18,-9.778611,500,0.009999998,100.0,1.0,57.79313478939137,1.0,-9.778612224520625,2,57.79313478939137,500.0,0.01,-9.778612224520625,,-9.778612224520625,1.0,0.01,1.0,-10.545477,7.564073
100,0.9,200.0,2.179301e-19,-8.674889,500,0.0049999994,200.00000010221265,1.0,48.214257318342064,1.0,-7.571165765908695,2,48.214257318342064,500.0,0.005,-7.571165765908695,,-7.571165765908695,1.0,0.005,1.0,-9.240519,7.327473
100,0.9,200.0,5.4391416e-20,-7.949654,500,0.0033333336,299.999969473632,1.0,41.93006535937058,1.0,-6.499186464759204,2,41.93006535937058,500.0,0.0033333334,-6.499186464759204,,-6.499186464759204,1.0,0.0033333334,1.0,-8.4114895,7.11923
100,0.9,200.0,5.434597e-20,-8.017744,500,0.0024999997,400.0,1.0,48.92795112938318,1.0,-8.222016490639136,2,48.92795112938318,500.0,0.0025,-8.222016490639136,,-8.222016490639136,1.0,0.0025,1.0,-8.417705,7.0806885
100,0.9,200.0,1.6474563e-05,-7.4486365,500,0.002,97.83962145306877,1.0476207,47.9193542490654,43.77372,-7.394217944823021,1,47.9193542490654,143.31529094756525,0.08356789,-7.394217944823021,4.5202446,-7.394217944823021,0.31978598,0.0006104996,3.4888113,-8.116829,14.315902
100,0.9,200.0,3.5044917e-18,-8.228862,500,0.009999998,100.0,1.0,52.00580488676431,1.0,-8.22886182637031,2,52.00580488676431,500.0,0.01,-8.22886182637031,,-8.22886182637031,1.0,0.01,1.0,-9.014225,7.1753564
100,0.9,200.0,2.179301e-19,-8.37462,500,0.0049999994,200.00000010221265,1.0,48.92620537676589,1.0,-8.520380890778112,2,48.92620537676589,500.0,0.005,-8.520380890778112,,-8.520380890778112,1.0,0.005,1.0,-8.941711,7.0698366
100,0.9,200.0,5.4391416e-20,-8.43205,500,0.0033333336,299.999969473632,1.0,50.11642626786953,1.0,-8.546903451852925,2,50.11642626786953,500.0,0.0033333334,-8.546903451852925,,-8.546903451852925,1.0,0.0033333334,1.0,-8.8984785,7.061639
100,0.9,200.0,5.434597e-20,-8.2765255,500,0.0024999997,400.0,1.0,49.09537190868563,1.0,-7.809956384176787,2,49.09537190868563,500.0,0.0025,-7.809956384176787,,-7.809956384176787,1.0,0.0025,1.0,-8.680465,7.0444107
100,0.9,200.0,0.00010592855,-6.2308207,500,0.0020000003,18.22876629613949,0.78358287,61.29010534636347,31.1858,-8.896126719169914,1,61.29010534636347,22.62873055656384,0.079597965,-8.896126719169914,16.26009,-8.896126719169914,,,22.095804,-7.9291277,32.96745
100,0.9,200.0,3.5044917e-18,-8.308779,500,0.009999998,100.0,1.0,63.102492945388796,1.0,-8.308778462342698,2,63.102492945388796,500.0,0.01,-8.308778462342698,,-8.308778462342698,1.0,0.01,1.0,-9.108043,7.9038897
100,0.9,200.0,2.179301e-19,-8.122995,500,0.0049999994,200.00000010221265,1.0,58.905742552567006,1.0,-7.937211903655862,2,58.905742552567006,500.0,0.005,-7.937211903655862,,-7.937211903655862,1.0,0.005,1.0,-8.701113,7.773583
100,0.9,200.0,5.4391416e-20,-8.129018,500,0.0033333336,299.999969473632,1.0,53.40366856601927,1.0,-8.141063928064549,2,53.40366856601927,500.0,0.0033333334,-8.141063928064549,,-8.141063928064549,1.0,0.0033333334,1.0,-8.601048,7.609797
100,0.9,200.0,5.434597e-20,-8.1149645,500,0.0024999997,400.0,1.0,48.208328515989855,1.0,-8.072803642599109,2,48.208328515989855,500.0,0.0025,-8.072803642599109,,-8.072803642599109,1.0,0.0025,1.0,-8.523755,7.440693
100,0.9,200.0,7.5714024e-07,-7.805426,500,0.0019999999,420.55455272907795,1.0331328,47.782600993715036,5.274077,-6.939677911067876,1,47.782600993715036,425.42523718730115,0.010209872,-6.939677911067876,0.20203593,-6.939677911067876,0.8096752,0.0015674175,1.1752946,-8.201814,7.6271954
