AvgNormIw,VarRet,ESSRenyi,MinVanillaIw,AvgRet,VarVanillaIw,BatchSize,AvgEpLen,Delta,IterType,MinNormIw,VarJ,VanillaAvgRet,AvgVanillaIw,ESSClassic,AvgDiscRet,VarNormIw,VarDiscRet,eRenyi2,MaxVanillaIw,EpsThisIter,MaxNormIw,J,Bound
0.0033333334,65.30779781935837,8.49140884491522,,-9.997010873677016,17.120893,300,200.0,0.9,1,,12.738856,-9.997010873677016,0.5060661,4.435981203042232,-9.997010873677016,0.0007427957,65.30779781935837,35.329826,46.07343,100,0.3034744,-2.3894846,-5.587056
0.009999998,44.48654715397443,300.0,1.0,-7.521149751770623,,300,200.0,0.9,2,0.01,6.6363907,-7.521149751770623,1.0,100.0,-7.521149751770623,3.5044917e-18,44.48654715397443,1.0,1.0,100,0.01,-7.5211496,-8.278718
0.0049999994,49.78850195362903,300.0,1.0,-8.382802346462842,,300,200.0,0.9,2,0.005,6.844835,-8.382802346462842,1.0,200.00000010221265,-8.382802346462842,2.179301e-19,49.78850195362903,1.0,1.0,100,0.005,-7.951976,-8.500243
nan,65.30779781935837,nan,0.021704484,-9.997010873677016,nan,400,200.0,0.9,,nan,nan,-9.997010873677016,inf,nan,-8.46208862739433,nan,57.77939361254579,nan,inf,100,nan,nan,nan
0.0025,60.34415465868782,46.529891569026425,,-8.88748555291097,6.350828,400,200.0,0.9,1,,16.610222,-8.88748555291097,0.92251617,47.37197779093475,-8.88748555291097,4.664041e-05,60.34415465868782,8.596624,12.081293,100,0.032740057,-6.579197,-7.979356
0.009999998,41.822917167839066,400.0,1.0,-7.558641961268595,,400,200.0,0.9,2,0.01,6.4346476,-7.558641961268595,1.0,100.0,-7.558641961268595,3.5044917e-18,41.822917167839066,1.0,1.0,100,0.01,-7.5586424,-8.322113
0.0049999994,40.616173480676444,400.0,1.0,-6.988478780960221,,400,200.0,0.9,2,0.005,6.394421,-6.988478780960221,1.0,200.00000010221265,-6.988478780960221,2.179301e-19,40.616173480676444,1.0,1.0,100,0.005,-7.2735605,-7.8134155
0.0033333336,52.643631972726205,400.0,1.0,-8.16061815930131,,400,200.0,0.9,2,0.0033333334,6.693754,-8.16061815930131,1.0,299.999969473632,-8.16061815930131,5.4391416e-20,52.643631972726205,1.0,1.0,100,0.0033333334,-7.569247,-8.014235
0.0025,51.96578702301386,399.54718410024157,0.97630554,-7.759950751870054,0.0010682556,400,200.0,0.9,1,0.0024440805,6.8052964,-7.759950751870054,0.998643,399.57315698778984,-7.759950751870054,6.694755e-09,51.96578702301386,1.0011333,1.2121972,100,0.003034611,-7.6165085,-8.007273
0.009999998,44.88537948717335,400.0,1.0,-8.106789071411852,,400,200.0,0.9,2,0.01,6.6660724,-8.106789071411852,1.0,100.0,-8.106789071411852,3.5044917e-18,44.88537948717335,1.0,1.0,100,0.01,-8.106789,-8.88144
0.0049999994,53.10733417410486,400.0,1.0,-7.479085809643855,,400,200.0,0.9,2,0.005,6.9717207,-7.479085809643855,1.0,200.00000010221265,-7.479085809643855,2.179301e-19,53.10733417410486,1.0,1.0,100,0.005,-7.7929378,-8.346847
0.0033333336,46.13167327980322,400.0,1.0,-7.579226752719871,,400,200.0,0.9,2,0.0033333334,6.9019465,-7.579226752719871,1.0,299.999969473632,-7.579226752719871,5.4391416e-20,46.13167327980322,1.0,1.0,100,0.0033333334,-7.7217016,-8.173966
0.0025,43.1900479646658,4.944623756259082,,-7.627700174120098,130.73927,400,200.0,0.9,1,,18.126568,-7.627700174120098,1.3887203,5.8290157444129305,-7.627700174120098,0.00042369813,43.1900479646658,80.89594,116.05415,100,0.20892285,-1.988862,-5.511652
