IterType,VarRet,AvgDiscRet,VarJ,MaxNormIw,Bound,AvgEpLen,VarNormIw,AvgNormIw,VarDiscRet,VarVanillaIw,EpsThisIter,J,BatchSize,MinVanillaIw,eRenyi2,ESSClassic,AvgRet,AvgVanillaIw,Delta,VanillaAvgRet,ESSRenyi,MaxVanillaIw,MinNormIw
2,62.34334443333293,-7.8882737350134855,7.3655534,0.0025,-8.385526,200.0,5.434597e-20,0.0024999997,62.34334443333293,,100,-7.969105,500,1.0,1.0,400.0,-7.8882737350134855,1.0,0.9,-7.8882737350134855,500.0,1.0,0.0025
1,46.11448710479802,-7.005839206792493,17.018564,0.03076167,-6.4547253,200.0,4.059146e-05,0.0019999999,46.11448710479802,10.854727,100,-5.2120404,500,,11.131831,44.933443362696806,-7.005839206792493,1.0342418,0.9,-7.005839206792493,44.91623996118764,15.907503,
2,50.81603254052519,-7.741781771853782,7.092804,0.01,-8.522303,200.0,3.5044917e-18,0.009999998,50.81603254052519,,100,-7.741782,500,1.0,1.0,100.0,-7.741781771853782,1.0,0.9,-7.741781771853782,500.0,1.0,0.01
2,50.981729478289196,-7.185108120406906,7.1040382,0.005,-8.04653,200.0,2.179301e-19,0.0049999994,50.981729478289196,,100,-7.4634447,500,1.0,1.0,200.00000010221265,-7.185108120406906,1.0,0.9,-7.185108120406906,500.0,1.0,0.005
2,58.495485741142026,-8.06250288113098,7.2820444,0.0033333334,-8.139217,200.0,5.4391416e-20,0.0033333336,58.495485741142026,,100,-7.6631308,500,1.0,1.0,299.999969473632,-8.06250288113098,1.0,0.9,-8.06250288113098,500.0,1.0,0.0033333334
2,55.75838300701767,-8.513880757921784,7.3285084,0.0025,-8.288122,200.0,5.434597e-20,0.0024999997,55.75838300701767,,100,-7.8758183,500,1.0,1.0,400.0,-8.513880757921784,1.0,0.9,-8.513880757921784,500.0,1.0,0.0025
1,49.937982534334665,-7.234342106838182,25.928219,0.09343159,-6.21984,200.0,0.00012998993,0.002,49.937982534334665,22.749573,100,-4.2582893,500,,27.663204,14.955514883518067,-7.234342106838182,0.8366847,0.9,-7.234342106838182,18.074551180316234,39.08639,
2,57.68129646501476,-8.604294259043913,7.556751,0.01,-9.43649,200.0,3.5044917e-18,0.009999998,57.68129646501476,,100,-8.604294,500,1.0,1.0,100.0,-8.604294259043913,1.0,0.9,-8.604294259043913,500.0,1.0,0.01
2,47.113576007984,-7.203981608867,7.2362747,0.005,-8.492589,200.0,2.179301e-19,0.0049999994,47.113576007984,,100,-7.9041376,500,1.0,1.0,200.00000010221265,-7.203981608867,1.0,0.9,-7.203981608867,500.0,1.0,0.005
2,41.90402531285301,-6.781338829831685,7.001257,0.0033333334,-8.01034,200.0,5.4391416e-20,0.0033333336,41.90402531285301,,100,-7.5298715,500,1.0,1.0,299.999969473632,-6.781338829831685,1.0,0.9,-6.781338829831685,500.0,1.0,0.0033333334
2,61.104754323026164,-9.185880255547831,7.2388406,0.0025,-8.359971,200.0,5.434597e-20,0.0024999997,61.104754323026164,,100,-7.9438734,500,1.0,1.0,400.0,-9.185880255547831,1.0,0.9,-9.185880255547831,500.0,1.0,0.0025
1,56.79659704461771,-9.734612973727698,22.872501,0.39508265,-7.239973,200.0,0.0006801211,0.002,56.79659704461771,123.79682,100,-3.1768324,500,,119.190735,2.9292821511249776,-9.734612973727698,0.8532799,0.9,-9.734612973727698,4.1949569366572765,168.55804,
2,52.968497795217736,-8.484121828764543,7.2414646,0.01,-9.274767,200.0,3.5044917e-18,0.009999998,52.968497795217736,,100,-8.484122,500,1.0,1.0,100.0,-8.484121828764543,1.0,0.9,-8.484121828764543,500.0,1.0,0.01
2,44.988419993823264,-7.068380339164719,6.9992676,0.005,-8.343171,200.0,2.179301e-19,0.0049999994,44.988419993823264,,100,-7.776251,500,1.0,1.0,200.00000010221265,-7.068380339164719,1.0,0.9,-7.068380339164719,500.0,1.0,0.005
2,47.99928022558601,-7.559801344588392,6.9649124,0.0033333334,-8.18202,200.0,5.4391416e-20,0.0033333336,47.99928022558601,,100,-7.704101,500,1.0,1.0,299.999969473632,-7.559801344588392,1.0,0.9,-7.559801344588392,500.0,1.0,0.0033333334
2,58.935902230610246,-7.430694365097221,7.140249,0.0025,-8.04964,200.0,5.434597e-20,0.0024999997,58.935902230610246,,100,-7.63575,500,1.0,1.0,400.0,-7.430694365097221,1.0,0.9,-7.430694365097221,500.0,1.0,0.0025
1,53.408860140444546,-8.421729334476574,7.534562,0.005746932,-8.030324,200.0,7.9492384e-07,0.0019999999,53.408860140444546,0.20936996,100,-7.6085167,500,0.78140616,1.2982842,417.2461472821485,-8.421729334476574,1.0264184,0.9,-8.421729334476574,385.1236966403836,2.9493785,0.001522588
2,52.85234878166001,-8.623432841289254,7.233521,0.01,-9.442363,200.0,3.5044917e-18,0.009999998,52.85234878166001,,100,-8.623432,500,1.0,1.0,100.0,-8.623432841289254,1.0,0.9,-8.623432841289254,500.0,1.0,0.01
2,53.96762200827992,-8.26201127064222,7.2738256,0.005,-9.029392,200.0,2.179301e-19,0.0049999994,53.96762200827992,,100,-8.442722,500,1.0,1.0,200.00000010221265,-8.26201127064222,1.0,0.9,-8.26201127064222,500.0,1.0,0.005
2,60.458192670284184,-8.534120988229617,7.4313807,0.0033333334,-8.952203,200.0,5.4391416e-20,0.0033333336,60.458192670284184,,100,-8.473188,500,1.0,1.0,299.999969473632,-8.534120988229617,1.0,0.9,-8.534120988229617,500.0,1.0,0.0033333334
2,54.0704259305809,-8.574516471278535,7.402933,0.0025,-8.913359,200.0,5.434597e-20,0.0024999997,54.0704259305809,,100,-8.49852,500,1.0,1.0,400.0,-8.574516471278535,1.0,0.9,-8.574516471278535,500.0,1.0,0.0025
