BatchSize,MinNormIw,VarNormIw,AvgNormIw,VarRet,VarDiscRet,J,eRenyi2,VarJ,AvgVanillaIw,ESSClassic,VanillaAvgRet,MaxVanillaIw,MaxNormIw,AvgDiscRet,AvgEpLen,VarVanillaIw,MinVanillaIw,ESSRenyi,Bound,AvgRet
500,0.0013940828,1.1013912e-08,0.002,1280.0653900833875,1280.0653900833875,4998.8154,1.0021422,24.92905,0.9955437,498.62977912145806,4998.329449068,1.0596489,0.0021287843,4998.329449068,499.842,0.0027289921,0.69393516,498.9311941196525,4810.422,4998.329449068
500,0.0019918042,4.068983e-12,0.002,0.0063506748946322526,0.0063506748946322526,4999.927,1.0000007,0.07955183,0.99992985,499.99948137888174,4999.925975656381,1.0016204,0.0020033813,4999.925975656381,500.0,1.0171045e-06,0.9958323,499.99964237238714,4811.7344,4999.925975656381
500,0.002,5.431875e-20,0.0020000003,0.005071485934065311,0.005071485934065311,4999.9297,1.0,0.07114944,1.0,500.00000664260017,4999.928790877225,1.0,0.002,4999.928790877225,500.0,,1.0,500.0,4811.7373,4999.928790877225
500,0.002,5.431875e-20,0.0020000003,0.0060982742652738444,0.0060982742652738444,4999.9253,1.0,0.07802159,1.0,500.00000664260017,4999.924830716983,1.0,0.002,4999.924830716983,500.0,,1.0,500.0,4811.733,4999.924830716983
500,0.002,5.431875e-20,0.0020000003,0.004765193083150139,0.004765193083150139,4999.93,1.0,0.06895907,1.0,500.00000664260017,4999.929742230422,1.0,0.002,4999.929742230422,500.0,,1.0,500.0,4811.738,4999.929742230422
500,0.0019935437,2.946898e-12,0.002,0.0044567077700338395,0.0044567077700338395,4999.9316,1.0000026,0.06666778,1.0000416,499.9996043824793,4999.930542095892,1.0025734,0.0020050635,4999.930542095892,500.0,7.3678746e-07,0.99681324,499.99868870125397,4811.7393,4999.930542095892
500,0.00072712894,1.6308142e-07,0.002,99796.7181169091,99796.7181169091,4987.8755,1.0385023,190.57591,1.0071551,480.4510553418871,4979.927950660077,1.5758874,0.003129384,4979.927950660077,498.004,0.041355867,0.3661658,481.46256670281394,4796.0947,4979.927950660077
500,0.000528732,5.1750533e-08,0.002,12313.098297227873,12313.098297227873,4998.6157,1.0111635,29.349514,0.9992258,493.62644561963356,4994.963152436303,1.1660968,0.0023340008,4994.963152436303,499.506,0.012917607,0.26416132,494.47988706775345,4809.376,4994.963152436303
500,0.002,5.431875e-20,0.0020000003,0.021203766965718056,0.021203766965718056,4999.924,1.0,0.14546531,1.0,500.00000664260017,4999.923272756875,1.0,0.002,4999.923272756875,500.0,,1.0,500.0,4811.7314,4999.923272756875
500,0.0016334137,3.2295242e-09,0.002,336.2839072620205,336.2839072620205,4999.261,1.0007612,14.967379,1.0009084,499.5974653366894,4999.110088711373,1.0392878,0.0020766894,4999.110088711373,499.92,0.0008088484,0.8174487,499.6197137984511,4810.9976,4999.110088711373
500,0.002,5.431875e-20,0.0020000003,0.0051185683053887095,0.0051185683053887095,4999.928,1.0,0.07148063,1.0,500.00000664260017,4999.9273580802055,1.0,0.002,4999.9273580802055,500.0,,1.0,500.0,4811.736,4999.9273580802055
500,0.002,5.431875e-20,0.0020000003,0.0045598084632688055,0.0045598084632688055,4999.9307,1.0,0.06745762,1.0,500.00000664260017,4999.930427684538,1.0,0.002,4999.930427684538,500.0,,1.0,500.0,4811.7383,4999.930427684538
500,0.000831481,9.92549e-08,0.002,49998.51087758871,49998.51087758871,4995.1196,1.0217861,107.49195,0.9939855,487.9170770753427,4989.925411459843,1.2869878,0.0025895506,4989.925411459843,499.002,0.024516134,0.41324002,489.339210111624,4804.8887,4989.925411459843
500,0.0019849415,7.647331e-12,0.002,0.005522936635909562,0.005522936635909562,4999.9297,1.0000035,0.074115306,1.0000491,499.99898405113737,4999.9292363012655,1.0023046,0.0020045107,4999.9292363012655,500.0,1.9120148e-06,0.9925195,499.9982714712772,4811.7373,4999.9292363012655
500,0.002,5.431875e-20,0.0020000003,0.005361569833092255,0.005361569833092255,4999.927,1.0,0.07315121,1.0,500.00000664260017,4999.926499600467,1.0,0.002,4999.926499600467,500.0,,1.0,500.0,4811.7344,4999.926499600467
500,0.002,5.431875e-20,0.0020000003,0.004305309287088942,0.004305309287088942,4999.9346,1.0,0.065556094,1.0,500.00000664260017,4999.934007760839,1.0,0.002,4999.934007760839,500.0,,1.0,500.0,4811.742,4999.934007760839
500,0.0019898051,6.6359735e-12,0.002,0.005000958826220019,0.005000958826220019,4999.927,1.0000014,0.07057687,1.0000199,499.9991521460392,4999.926045052032,1.0027093,0.0020053785,4999.926045052032,500.0,1.6590575e-06,0.99492246,499.9992847452859,4811.7344,4999.926045052032
