VanillaAvgRet,MaxNormIw,VarDiscRet,BatchSize,IterType,eRenyi2,MinVanillaIw,AvgDiscRet,ESSClassic,VarRet,VarVanillaIw,Delta,AvgEpLen,VarJ,J,Bound,MinNormIw,AvgRet,AvgVanillaIw,MaxVanillaIw,VarNormIw,ESSRenyi,AvgNormIw,EpsThisIter
-8.160261352096532,0.0033333334,58.06824884405316,400,2,1.0,1.0,-8.160261352096532,299.999969473632,58.06824884405316,,0.9,200.0,7.283621,-7.469152,-7.926811,0.0033333334,-8.160261352096532,1.0,1.0,5.4391416e-20,400.0,0.0033333336,100
-7.381898613035511,0.0029174061,54.88885890079176,500,,1.0768837,0.16688003,-8.907580474847169,385.06364043709993,48.60511554599875,0.0454844,0.9,200.0,7.352675,-7.734351,-8.14565,0.0003857567,-7.381898613035511,1.0815109,1.2620827,2.4304163e-07,464.3027025351592,0.0025,100
-9.064617830038422,0.026805824,52.027983082760834,500,1,9.63749,,-9.064617830038422,50.301620208005794,52.027983082760834,9.227381,0.9,200.0,20.123846,-5.5157633,-6.6079607,,-9.064617830038422,1.014927,13.602977,3.5831814e-05,51.88072681386564,0.002,100
-7.604357552920281,0.01,52.57059727818546,500,2,1.0,1.0,-7.604357552920281,100.0,52.57059727818546,,0.9,200.0,7.2142143,-7.6043577,-8.370157,0.01,-7.604357552920281,1.0,1.0,3.5044917e-18,500.0,0.009999998,100
-7.421219260666062,0.005,48.47384207565592,500,2,1.0,1.0,-7.421219260666062,200.00000010221265,48.47384207565592,,0.9,200.0,7.072862,-7.512789,-8.054291,0.005,-7.421219260666062,1.0,1.0,2.179301e-19,500.0,0.0049999994,100
-8.242498084416388,0.0033333334,51.94902782278879,500,2,1.0,1.0,-8.242498084416388,299.999969473632,51.94902782278879,,0.9,200.0,7.1141944,-7.756026,-8.2018175,0.0033333334,-8.242498084416388,1.0,1.0,5.4391416e-20,500.0,0.0033333336,100
-7.60200318268448,0.0025,50.5073972044614,500,2,1.0,1.0,-7.60200318268448,400.0,50.5073972044614,,0.9,200.0,7.1037908,-7.7175193,-8.107005,0.0025,-7.60200318268448,1.0,1.0,5.434597e-20,500.0,0.0024999997,100
-8.729894001443853,0.20517999,50.714954843780006,500,1,83.42816,,-8.729894001443853,7.343383545649266,50.714954843780006,101.57281,0.9,200.0,15.870569,-2.7185307,-5.9292746,,-8.729894001443853,1.229221,126.105774,0.0002688918,5.993180123887344,0.0019999999,100
-7.360886000921779,0.01,51.06786786478112,500,2,1.0,1.0,-7.360886000921779,100.0,51.06786786478112,,0.9,200.0,7.1103578,-7.360886,-8.138703,0.01,-7.360886000921779,1.0,1.0,3.5044917e-18,500.0,0.009999998,100
-7.145119616382216,0.005,47.955628271903,500,2,1.0,1.0,-7.145119616382216,200.00000010221265,47.955628271903,,0.9,200.0,7.002019,-7.253002,-7.803002,0.005,-7.145119616382216,1.0,1.0,2.179301e-19,500.0,0.0049999994,100
-7.916725170361823,0.0033333334,49.56729887103818,500,2,1.0,1.0,-7.916725170361823,299.999969473632,49.56729887103818,,0.9,200.0,7.010037,-7.474244,-7.923317,0.0033333334,-7.916725170361823,1.0,1.0,5.4391416e-20,500.0,0.0033333336,100
-8.364149689889507,0.0025,50.752867533776374,500,2,1.0,1.0,-8.364149689889507,400.0,50.752867533776374,,0.9,200.0,7.0402613,-7.696719,-8.085628,0.0025,-8.364149689889507,1.0,1.0,5.434597e-20,500.0,0.0024999997,100
-6.672224298198927,0.045083243,45.465180889623326,500,1,2.3234599,0.6997359,-6.672224298198927,177.465080067264,45.465180889623326,2.0615997,0.9,200.0,10.536774,-7.024441,-7.5546656,0.0013153114,-6.672224298198927,1.0639851,23.98395,7.2843923e-06,215.19631469415452,0.002,100
-9.219609909716917,0.01,58.126049488804824,500,2,1.0,1.0,-9.219609909716917,100.0,58.126049488804824,,0.9,200.0,7.5858283,-9.219609,-9.987206,0.01,-9.219609909716917,1.0,1.0,3.5044917e-18,500.0,0.009999998,100
-8.144295527291577,0.005,52.160778113856466,500,2,1.0,1.0,-8.144295527291577,200.00000010221265,52.160778113856466,,0.9,200.0,7.4081745,-8.681952,-9.229238,0.005,-8.144295527291577,1.0,1.0,2.179301e-19,500.0,0.0049999994,100
-6.869952149198557,0.0033333334,51.046333153339255,500,2,1.0,1.0,-6.869952149198557,299.999969473632,51.046333153339255,,0.9,200.0,7.3595037,-8.077952,-8.534165,0.0033333334,-6.869952149198557,1.0,1.0,5.4391416e-20,500.0,0.0033333336,100
-8.021803224505222,0.0025,53.97359749548923,500,2,1.0,1.0,-8.021803224505222,400.0,53.97359749548923,,0.9,200.0,7.347161,-8.063915,-8.459007,0.0025,-8.021803224505222,1.0,1.0,5.434597e-20,500.0,0.0024999997,100
-7.926046948947908,0.24805717,45.60541114780626,500,1,92.73969,,-7.926046948947908,5.844025902899401,45.60541114780626,86.00443,0.9,200.0,11.793149,-1.1825006,-4.5856104,,-7.926046948947908,1.0075109,124.960144,0.0003389076,5.391434729918621,0.002,100
-7.768591653408828,0.01,47.27099354658391,500,2,1.0,1.0,-7.768591653408828,100.0,47.27099354658391,,0.9,200.0,6.840927,-7.7685914,-8.540669,0.01,-7.768591653408828,1.0,1.0,3.5044917e-18,500.0,0.009999998,100
-7.027648280714373,0.005,44.41907045405709,500,2,1.0,1.0,-7.027648280714373,200.00000010221265,44.41907045405709,,0.9,200.0,6.747135,-7.39812,-7.949874,0.005,-7.027648280714373,1.0,1.0,2.179301e-19,500.0,0.0049999994,100
-7.584938124298134,0.0033333334,42.86455635748026,500,2,1.0,1.0,-7.584938124298134,299.999969473632,42.86455635748026,,0.9,200.0,6.671003,-7.4603925,-7.913521,0.0033333334,-7.584938124298134,1.0,1.0,5.4391416e-20,500.0,0.0033333336,100
-7.595937606527519,0.0025,44.04186084609053,500,2,1.0,1.0,-7.595937606527519,400.0,44.04186084609053,,0.9,200.0,6.654361,-7.494279,-7.8866997,0.0025,-7.595937606527519,1.0,1.0,5.434597e-20,500.0,0.0024999997,100
-8.557854003253997,0.1531782,50.9267506345585,500,1,4.4803014,0.15394542,-8.557854003253997,37.31781361739378,50.9267506345585,12.295725,0.9,200.0,19.57067,-6.6590414,-7.4061027,0.00030948364,-8.557854003253997,0.9948533,76.19492,4.9693084e-05,111.59963528668385,0.0019999999,100
-8.314718963001106,0.01,50.58278319741124,500,2,1.0,1.0,-8.314718963001106,100.0,50.58278319741124,,0.9,200.0,7.076507,-8.314719,-9.08044,0.01,-8.314718963001106,1.0,1.0,3.5044917e-18,500.0,0.009999998,100
-8.886805540886556,0.005,55.20395020604808,500,2,1.0,1.0,-8.886805540886556,200.00000010221265,55.20395020604808,,0.9,200.0,7.241979,-8.600762,-9.158841,0.005,-8.886805540886556,1.0,1.0,2.179301e-19,500.0,0.0049999994,100
-8.266808573410394,0.0033333334,49.558535666351794,500,2,1.0,1.0,-8.266808573410394,299.999969473632,49.558535666351794,,0.9,200.0,7.165422,-8.489444,-8.945113,0.0033333334,-8.266808573410394,1.0,1.0,5.4391416e-20,500.0,0.0033333336,100
-7.643169782992832,0.0025,46.69450895626294,500,2,1.0,1.0,-7.643169782992832,400.0,46.69450895626294,,0.9,200.0,7.0850987,-8.277875,-8.672497,0.0025,-7.643169782992832,1.0,1.0,5.434597e-20,500.0,0.0024999997,100
-8.157098351248807,0.052373365,49.86656612364601,500,1,27.889576,,-8.157098351248807,26.108977053294026,49.86656612364601,40.167877,0.9,200.0,28.12764,-4.9505987,-6.814602,,-8.157098351248807,1.4861423,38.917137,7.2747505e-05,17.927845183033707,0.002,100
-6.968347981701113,0.01,43.52595501392028,500,2,1.0,1.0,-6.968347981701113,100.0,43.52595501392028,,0.9,200.0,6.56435,-6.9683475,-7.75317,0.01,-6.968347981701113,1.0,1.0,3.5044917e-18,500.0,0.009999998,100
