AvgVanillaIw,MaxVanillaIw,AvgRet,VarRet,VarJ,Delta,VarDiscRet,VanillaAvgRet,ESSClassic,J,AvgEpLen,AvgNormIw,VarNormIw,AvgDiscRet,Bound,EpsThisIter,ESSRenyi,MinVanillaIw,MaxNormIw,MinNormIw,eRenyi2,IterType,VarVanillaIw,BatchSize
1.0,1.0,-7.131718117178529,53.10228778243181,7.0109997,0.9,53.10228778243181,-7.131718117178529,200.00000010221265,-7.8100376,200.0,0.0049999994,2.179301e-19,-7.131718117178529,-8.466393,100,300.0,1.0,0.005,0.005,1.0,2,,300
1.0827974,38.37011,-7.889133496746275,53.23081243233626,19.706987,0.9,53.23081243233626,-7.889133496746275,10.384966063381402,-3.1117039,200.0,0.0033333334,0.00031090202,-7.889133496746275,-5.9141006,100,10.971081898709535,,0.118120305,,27.344614,1,32.806545,300
1.0,1.0,-8.884377760663437,49.84399382052255,7.024639,0.9,49.84399382052255,-8.884377760663437,100.0,-8.884378,200.0,0.009999998,3.5044917e-18,-8.884377760663437,-9.72163,100,300.0,1.0,0.01,0.01,1.0,2,,300
1.0,1.0,-10.030204415550624,64.79415161902118,7.554741,0.9,64.79415161902118,-10.030204415550624,200.00000010221265,-9.457291,200.0,0.0049999994,2.179301e-19,-10.030204415550624,-10.059629,100,300.0,1.0,0.005,0.005,1.0,2,,300
inf,inf,-7.889133496746275,53.23081243233626,nan,0.9,55.05500554817819,-7.889133496746275,nan,nan,200.0,nan,nan,-8.568231773872139,nan,100,nan,0.026061952,nan,nan,nan,,nan,400
0.9961632,1.1444681,-7.7319796250802515,45.123117057631504,6.9812007,0.9,45.123117057631504,-7.7319796250802515,387.81164792644256,-7.765516,200.0,0.0025,1.969205e-07,-7.7319796250802515,-8.236279,100,388.78000495672484,0.17524388,0.0028721902,0.00043979712,1.0288595,1,0.031265967,400
1.0,1.0,-7.671259893284139,53.964513747804226,7.3092318,0.9,53.964513747804226,-7.671259893284139,100.0,-7.671259,200.0,0.009999998,3.5044917e-18,-7.671259893284139,-8.461046,100,400.0,1.0,0.01,0.01,1.0,2,,400
1.0,1.0,-8.040870517392948,57.486901207500814,7.4298453,0.9,57.486901207500814,-8.040870517392948,200.00000010221265,-7.856065,200.0,0.0049999994,2.179301e-19,-8.040870517392948,-8.414529,100,400.0,1.0,0.005,0.005,1.0,2,,400
1.0,1.0,-9.483836042181133,64.09358232179484,7.6512365,0.9,64.09358232179484,-9.483836042181133,299.999969473632,-8.398657,200.0,0.0033333336,5.4391416e-20,-9.483836042181133,-8.857549,100,400.0,1.0,0.0033333334,0.0033333334,1.0,2,,400
1.0669396,5.706333,-7.7319796250802515,45.123117057631504,8.269244,0.9,49.886495895743224,-7.7319796250802515,345.1539155713302,-8.611955,200.0,0.0024999997,9.95635e-07,-8.465988412854827,-9.024133,100,476.14514313231984,0.87376845,0.013370798,0.0020473711,1.0501,,0.18134256,500
0.7832633,50.84433,-8.97203160259117,59.473243586728955,26.256407,0.9,59.473243586728955,-8.97203160259117,11.593903170057253,-4.193585,200.0,0.002,0.00016884215,-8.97203160259117,-6.6828327,100,13.90505096690453,,0.12982692,,35.958157,1,25.896227,500
1.0,1.0,-8.021033339376853,50.26658818045376,7.054354,0.9,50.26658818045376,-8.021033339376853,100.0,-8.021033,200.0,0.009999998,3.5044917e-18,-8.021033339376853,-8.8101015,100,500.0,1.0,0.01,0.01,1.0,2,,500
1.0,1.0,-8.281524185064448,55.33534268540443,7.231177,0.9,55.33534268540443,-8.281524185064448,200.00000010221265,-8.1512785,200.0,0.0049999994,2.179301e-19,-8.281524185064448,-8.709234,100,500.0,1.0,0.005,0.005,1.0,2,,500
1.0,1.0,-7.303761006903982,49.6526323152644,7.1697235,0.9,49.6526323152644,-7.303761006903982,299.999969473632,-7.8687725,200.0,0.0033333336,5.4391416e-20,-7.303761006903982,-8.324341,100,500.0,1.0,0.0033333334,0.0033333334,1.0,2,,500
1.0,1.0,-7.769198569055144,52.9380366770773,7.1873307,0.9,52.9380366770773,-7.769198569055144,400.0,-7.843879,200.0,0.0024999997,5.434597e-20,-7.769198569055144,-8.238413,100,500.0,1.0,0.0025,0.0025,1.0,2,,500
0.792767,71.34162,-7.818464462899702,47.74169532979014,20.187468,0.9,47.74169532979014,-7.818464462899702,7.5767863293063575,-2.8983676,200.0,0.0020000003,0.00026048507,-7.818464462899702,-5.516653,100,9.082281568467454,,0.17998132,,55.052246,1,40.927387,500
1.0,1.0,-7.698566344214235,48.457719073032976,6.9262643,0.9,48.457719073032976,-7.698566344214235,100.0,-7.698566,200.0,0.009999998,3.5044917e-18,-7.698566344214235,-8.489392,100,500.0,1.0,0.01,0.01,1.0,2,,500
1.0,1.0,-7.042940050364518,39.8576541347689,6.6199374,0.9,39.8576541347689,-7.042940050364518,200.00000010221265,-7.3707533,200.0,0.0049999994,2.179301e-19,-7.042940050364518,-7.929952,100,500.0,1.0,0.005,0.005,1.0,2,,500
