ESSRenyi,AvgDiscRet,AvgEpLen,MaxNormIw,BatchSize,VarRet,MaxVanillaIw,MinNormIw,VarDiscRet,VanillaAvgRet,AvgRet,IterType,AvgNormIw,eRenyi2,VarJ,VarNormIw,Bound,VarVanillaIw,AvgVanillaIw,J,Delta,EpsThisIter,MinVanillaIw,ESSClassic
500.0,-6.755893461073635,200.0,0.0033333334,500,39.95300573507228,1.0,0.0033333334,39.95300573507228,-6.755893461073635,-6.755893461073635,2,0.0033333336,1.0,6.729772,5.4391416e-20,-7.907976,,1.0,-7.4592447,0.9,100,1.0,299.999969473632
500.0,-7.933577374683252,200.0,0.0025,500,55.12278594077659,1.0,0.0025,55.12278594077659,-7.933577374683252,-7.933577374683252,2,0.0024999997,1.0,6.903075,5.434597e-20,-7.96644,,1.0,-7.5778275,0.9,100,1.0,400.0
6.417175972564066,-8.19329506549887,200.0,0.25927195,500,55.33668204270626,110.05878,,55.33668204270626,-8.19329506549887,-8.19329506549887,1,0.0020000003,77.91589,27.210825,0.0004378652,-6.222931,78.900314,0.84898335,-3.1547904,0.9,100,,4.535255694237727
500.0,-6.890335957100067,200.0,0.01,500,42.183770955206214,1.0,0.01,42.183770955206214,-6.890335957100067,-6.890335957100067,2,0.009999998,1.0,6.4623475,3.5044917e-18,-7.651842,,1.0,-6.890336,0.9,100,1.0,100.0
500.0,-8.276910318118393,200.0,0.005,500,53.17497909290762,1.0,0.005,53.17497909290762,-8.276910318118393,-8.276910318118393,2,0.0049999994,1.0,6.9053044,2.179301e-19,-8.133754,,1.0,-7.583623,0.9,100,1.0,200.00000010221265
500.0,-8.494476171554336,200.0,0.0033333334,500,52.95552234997582,1.0,0.0033333334,52.95552234997582,-8.494476171554336,-8.494476171554336,2,0.0033333336,1.0,7.0319633,5.4391416e-20,-8.337612,,1.0,-7.8872414,0.9,100,1.0,299.999969473632
500.0,-7.162926419276132,200.0,0.0025,500,39.0369257392,1.0,0.0025,39.0369257392,-7.162926419276132,-7.162926419276132,2,0.0024999997,1.0,6.8444424,5.434597e-20,-8.096195,,1.0,-7.7061625,0.9,100,1.0,400.0
156.16240934654752,-7.126061810643356,200.0,0.008314333,500,47.96125723234597,4.471038,3.256075e-39,47.96125723234597,-7.126061810643356,-7.126061810643356,1,0.0020000003,3.2017949,12.73086,1.1681491e-05,-7.658648,3.3780034,1.0755013,-7.0344214,0.9,100,1.7509567e-36,127.72919426136095
500.0,-7.299766188725434,200.0,0.01,500,49.51346825283139,1.0,0.01,49.51346825283139,-7.299766188725434,-7.299766188725434,2,0.009999998,1.0,7.0013094,3.5044917e-18,-8.079683,,1.0,-7.299766,0.9,100,1.0,100.0
500.0,-7.939464339130167,200.0,0.005,500,46.9881915768183,1.0,0.005,46.9881915768183,-7.939464339130167,-7.939464339130167,2,0.0049999994,1.0,6.9188595,2.179301e-19,-8.1711,,1.0,-7.619615,0.9,100,1.0,200.00000010221265
500.0,-7.927439451909334,200.0,0.0033333334,500,51.731676877687946,1.0,0.0033333334,51.731676877687946,-7.927439451909334,-7.927439451909334,2,0.0033333336,1.0,7.0004473,5.4391416e-20,-8.172509,,1.0,-7.7222233,0.9,100,1.0,299.999969473632
500.0,-8.301887206648045,200.0,0.0025,500,49.982792381158696,1.0,0.0025,49.982792381158696,-8.301887206648045,-8.301887206648045,2,0.0024999997,1.0,7.0134473,5.434597e-20,-8.257097,,1.0,-7.8671384,0.9,100,1.0,400.0
433.5797550090131,-8.702538113069691,200.0,0.002536239,500,50.10962515922988,1.411437,7.6426826e-05,50.10962515922988,-8.702538113069691,-8.702538113069691,1,0.002,1.1531904,7.965072,1.0335623e-06,-8.1826,0.3200953,1.1130158,-7.807085,0.9,100,0.04253213,397.49613991215085
500.0,-8.829167089672408,200.0,0.01,500,55.99069556732502,1.0,0.01,55.99069556732502,-8.829167089672408,-8.829167089672408,2,0.009999998,1.0,7.4451857,3.5044917e-18,-9.608763,,1.0,-8.829167,0.9,100,1.0,100.0
500.0,-7.983200302071674,200.0,0.005,500,46.91248431364279,1.0,0.005,46.91248431364279,-7.983200302071674,-7.983200302071674,2,0.0049999994,1.0,7.1495447,2.179301e-19,-8.957441,,1.0,-8.406184,0.9,100,1.0,200.00000010221265
500.0,-8.266347031477203,200.0,0.0033333334,500,47.292920707638494,1.0,0.0033333334,47.292920707638494,-8.266347031477203,-8.266347031477203,2,0.0033333336,1.0,7.0489955,5.4391416e-20,-8.80967,,1.0,-8.359571,0.9,100,1.0,299.999969473632
500.0,-8.233949943000509,200.0,0.0025,500,50.68787301002546,1.0,0.0025,50.68787301002546,-8.233949943000509,-8.233949943000509,2,0.0024999997,1.0,7.057936,5.434597e-20,-8.717963,,1.0,-8.328166,0.9,100,1.0,400.0
262.9483095761855,-8.918796419609622,200.0,0.022364967,500,53.24065061761124,18.620426,0.0008829342,53.24065061761124,-8.918796419609622,-8.918796419609622,1,0.002,1.9015144,15.002108,2.2794593e-05,-8.162128,15.800637,1.6651423,-7.681362,0.9,100,0.7351056,74.76914293978531
500.0,-7.8063051176019735,200.0,0.01,500,58.90329166022702,1.0,0.01,58.90329166022702,-7.8063051176019735,-7.8063051176019735,2,0.009999998,1.0,7.6363773,3.5044917e-18,-8.586878,,1.0,-7.806305,0.9,100,1.0,100.0
500.0,-8.914464772420114,200.0,0.005,500,53.471901357309754,1.0,0.005,53.471901357309754,-8.914464772420114,-8.914464772420114,2,0.0049999994,1.0,7.4788184,2.179301e-19,-8.9123335,,1.0,-8.360385,0.9,100,1.0,200.00000010221265
500.0,-7.677568746964299,200.0,0.0033333334,500,44.58983631530081,1.0,0.0033333334,44.58983631530081,-7.677568746964299,-7.677568746964299,2,0.0033333336,1.0,7.2185,5.4391416e-20,-8.583445,,1.0,-8.13278,0.9,100,1.0,299.999969473632
500.0,-6.835966049409173,200.0,0.0025,500,46.71672465014069,1.0,0.0025,46.71672465014069,-6.835966049409173,-6.835966049409173,2,0.0024999997,1.0,7.1384706,5.434597e-20,-8.198862,,1.0,-7.8085756,0.9,100,1.0,400.0
489.3798615764427,-8.135879312511193,200.0,0.002243892,500,48.48068537770197,1.1215544,0.00084221264,48.48068537770197,-8.135879312511193,-8.135879312511193,1,0.0019999996,1.0217012,7.384545,2.8294116e-07,-8.217095,0.07068592,0.9996509,-7.864245,0.9,100,0.4209593,467.03054822850055
500.0,-6.836837753763956,200.0,0.01,500,46.6394471988389,1.0,0.01,46.6394471988389,-6.836837753763956,-6.836837753763956,2,0.009999998,1.0,6.7950754,3.5044917e-18,-7.616605,,1.0,-6.836838,0.9,100,1.0,100.0
500.0,-7.172708335679691,200.0,0.005,500,42.948696598757195,1.0,0.005,42.948696598757195,-7.172708335679691,-7.172708335679691,2,0.0049999994,1.0,6.661406,2.179301e-19,-7.556152,,1.0,-7.004773,0.9,100,1.0,200.00000010221265
500.0,-8.581564818190351,200.0,0.0033333334,500,42.63799367616775,1.0,0.0033333334,42.63799367616775,-8.581564818190351,-8.581564818190351,2,0.0033333336,1.0,6.648754,5.4391416e-20,-7.9805694,,1.0,-7.5303707,0.9,100,1.0,299.999969473632
500.0,-8.34409963415906,200.0,0.0025,500,46.51370055733874,1.0,0.0025,46.51370055733874,-8.34409963415906,-8.34409963415906,2,0.0024999997,1.0,6.6925883,5.434597e-20,-8.123686,,1.0,-7.7338023,0.9,100,1.0,400.0
337.0750993732899,-7.316616987005981,200.0,0.008308406,500,44.10275188710881,5.7779355,0.0010905503,44.10275188710881,-7.316616987005981,-7.316616987005981,1,0.0020000003,1.483349,9.8031225,5.7486754e-06,-7.7255187,2.7802112,1.390865,-7.3008,0.9,100,0.75840414,205.3982801291169
500.0,-7.979793933674049,200.0,0.01,500,42.47636614138765,1.0,0.01,42.47636614138765,-7.979793933674049,-7.979793933674049,2,0.009999998,1.0,6.4847207,3.5044917e-18,-8.749592,,1.0,-7.979794,0.9,100,1.0,100.0
500.0,-7.961208148289286,200.0,0.005,500,49.47429076409676,1.0,0.005,49.47429076409676,-7.961208148289286,-7.961208148289286,2,0.0049999994,1.0,6.746529,2.179301e-19,-8.524263,,1.0,-7.970501,0.9,100,1.0,200.00000010221265
500.0,-9.334615931345702,200.0,0.0033333334,500,51.819689365291914,1.0,0.0033333334,51.819689365291914,-9.334615931345702,-9.334615931345702,2,0.0033333336,1.0,6.917932,5.4391416e-20,-8.877351,,1.0,-8.425206,0.9,100,1.0,299.999969473632
