VarDiscRet,VanillaAvgRet,AvgEpLen,AvgRet,VarVanillaIw,BatchSize,Bound,Delta,MaxVanillaIw,IterType,MaxNormIw,MinVanillaIw,ESSClassic,EpsThisIter,AvgNormIw,MinNormIw,ESSRenyi,eRenyi2,VarRet,VarNormIw,AvgDiscRet,J,AvgVanillaIw,VarJ
42.91305671285437,-7.373864597041555,200.0,-7.373864597041555,42.622044,500,-4.767054,0.9,85.60945,1,0.26989275,,4.686367678756828,100,0.002,,7.922348988079969,63.112595,42.91305671285437,0.000423617,-7.373864597041555,-1.9377306,0.6343961,15.317879
56.64060700575794,-7.723482316804574,200.0,-7.723482316804574,,500,-8.519151,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,56.64060700575794,3.5044917e-18,-7.723482316804574,-7.723482,1.0,7.488271
53.54162355284019,-8.382307915397737,200.0,-8.382307915397737,,500,-8.615518,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,500.0,1.0,53.54162355284019,2.179301e-19,-8.382307915397737,-8.052895,1.0,7.392477
49.41905873056793,-7.082098430583727,200.0,-7.082098430583727,,500,-8.190449,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,500.0,1.0,49.41905873056793,5.4391416e-20,-7.082098430583727,-7.7292967,1.0,7.2766886
52.11570779531023,-8.142144924178718,200.0,-8.142144924178718,,500,-8.231878,0.9,1.0,2,0.0025,1.0,400.0,100,0.0024999997,0.0025,500.0,1.0,52.11570779531023,5.434597e-20,-8.142144924178718,-7.832508,1.0,7.2555666
46.199076951931794,-7.1825957999884045,200.0,-7.1825957999884045,13.614955,500,-6.028558,0.9,30.700567,1,0.090234585,,16.47696061838102,100,0.0019999999,,23.023014231648705,21.7174,46.199076951931794,0.00011761684,-7.1825957999884045,-4.3639035,0.68046117,19.161837
55.04717176114078,-7.932162994601295,200.0,-7.932162994601295,,500,-8.728207,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,55.04717176114078,3.5044917e-18,-7.932162994601295,-7.9321623,1.0,7.382188
49.187495993023596,-7.355065019238811,200.0,-7.355065019238811,,500,-8.206503,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,500.0,1.0,49.187495993023596,2.179301e-19,-7.355065019238811,-7.643614,1.0,7.18884
46.91694546581214,-7.156222542204013,200.0,-7.156222542204013,,500,-7.9407473,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,500.0,1.0,46.91694546581214,5.4391416e-20,-7.156222542204013,-7.4811506,1.0,7.070242
49.15422768417882,-7.797677492346702,200.0,-7.797677492346702,,500,-7.9583044,0.9,1.0,2,0.0025,1.0,400.0,100,0.0024999997,0.0025,500.0,1.0,49.15422768417882,5.434597e-20,-7.797677492346702,-7.5602818,1.0,7.0480995
57.114917338122304,-8.38016666256441,200.0,-8.38016666256441,0.12130512,500,-8.029506,0.9,2.3328612,1,0.00449451,0.8336815,449.5025756862186,100,0.0020000003,0.0016061779,449.29268311232926,1.1128603,57.114917338122304,4.502628e-07,-8.38016666256441,-7.6535826,1.0380937,7.691823
55.27607466342805,-9.300518398953006,200.0,-9.300518398953006,,500,-10.094822,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,55.27607466342805,3.5044917e-18,-9.300518398953006,-9.300518,1.0,7.3975205
49.717564902992216,-8.430280812532908,200.0,-8.430280812532908,,500,-9.427905,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,500.0,1.0,49.717564902992216,2.179301e-19,-8.430280812532908,-8.8654,1.0,7.2222695
50.58455532861544,-7.536447204387745,200.0,-7.536447204387745,,500,-8.8817,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,500.0,1.0,50.58455532861544,5.4391416e-20,-7.536447204387745,-8.422416,1.0,7.201354
52.169986127835955,-8.36487506393085,200.0,-8.36487506393085,,500,-8.80578,0.9,1.0,2,0.0025,1.0,400.0,100,0.0024999997,0.0025,500.0,1.0,52.169986127835955,5.434597e-20,-8.36487506393085,-8.40803,1.0,7.1977296
62.071339688665795,-8.977161906642971,200.0,-8.977161906642971,31.46816,500,-8.497477,0.9,72.2347,1,0.12110486,1.4050701e-09,21.67455662301949,100,0.002,2.3556658e-12,21.241062283234314,23.539312,62.071339688665795,8.8451e-05,-8.977161906642971,-6.767808,1.1929282,26.255497
52.4084303612662,-7.695109310111238,200.0,-7.695109310111238,,500,-8.49368,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,52.4084303612662,3.5044917e-18,-7.695109310111238,-7.6951084,1.0,7.2030787
