J,VarNormIw,ESSRenyi,VarJ,AvgEpLen,Bound,VarDiscRet,MinVanillaIw,MaxNormIw,MinNormIw,VanillaAvgRet,BatchSize,VarRet,AvgVanillaIw,IterType,ESSClassic,eRenyi2,AvgRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgDiscRet,EpsThisIter,Delta
-7.4606376,2.179301e-19,400.0,6.6089625,200.0,-8.001423,39.99819711649557,1.0,0.005,0.005,-7.235091352723802,400,39.99819711649557,1.0,2,200.00000010221265,1.0,-7.235091352723802,0.0049999994,,1.0,-7.235091352723802,100,0.9
-7.4481544,5.4391416e-20,400.0,6.737581,200.0,-7.893514,49.32046446660839,1.0,0.0033333334,0.0033333334,-7.423188261607091,400,49.32046446660839,1.0,2,299.999969473632,1.0,-7.423188261607091,0.0033333336,,1.0,-7.423188261607091,100,0.9
nan,nan,nan,nan,200.0,nan,50.708199709818295,0.21192326,nan,nan,-7.907182208954976,500,46.72015311275512,inf,,nan,nan,-7.907182208954976,nan,nan,inf,-8.549914870054454,100,0.9
-6.6353126,9.818283e-06,154.7625478459825,12.493662,200.0,-7.253684,40.79704575996256,1.4448006e-34,0.009355244,2.9768357e-37,-7.9088100215126405,500,40.79704575996256,0.97069556,1,144.94175142341157,3.2307558,-7.9088100215126405,0.002,2.312819,4.540547,-7.9088100215126405,100,0.9
-7.837456,3.5044917e-18,500.0,6.860637,200.0,-8.602281,47.54377823855354,1.0,0.01,0.01,-7.837456653984228,500,47.54377823855354,1.0,2,100.0,1.0,-7.837456653984228,0.009999998,,1.0,-7.837456653984228,100,0.9
-7.591342,2.179301e-19,500.0,6.831538,200.0,-8.132154,46.61651278356199,1.0,0.005,0.005,-7.345228360936579,500,46.61651278356199,1.0,2,200.00000010221265,1.0,-7.345228360936579,0.0049999994,,1.0,-7.345228360936579,100,0.9
-7.363686,5.4391416e-20,500.0,6.6399174,200.0,-7.805258,39.004759013847014,1.0,0.0033333334,0.0033333334,-6.908370125734695,500,39.004759013847014,1.0,2,299.999969473632,1.0,-6.908370125734695,0.0033333336,,1.0,-6.908370125734695,100,0.9
-7.5436616,5.434597e-20,500.0,6.812941,200.0,-7.926074,53.54591811254651,1.0,0.0025,0.0025,-8.083591280742322,500,53.54591811254651,1.0,2,400.0,1.0,-8.083591280742322,0.0024999997,,1.0,-8.083591280742322,100,0.9
-7.3559637,3.420724e-06,318.5052328196385,7.4277253,200.0,-7.7902093,50.07348361878578,0.5975503,0.03210961,0.0011609064,-7.354196413643934,500,50.07348361878578,1.0294547,1,269.76416907269584,1.5698329,-7.354196413643934,0.002,0.9063011,16.527695,-7.354196413643934,100,0.9
-8.738282,3.5044917e-18,500.0,6.990451,200.0,-9.49095,49.36000175201565,1.0,0.01,0.01,-8.738282059119022,500,49.36000175201565,1.0,2,100.0,1.0,-8.738282059119022,0.009999998,,1.0,-8.738282059119022,100,0.9
-8.685835,2.179301e-19,500.0,6.905446,200.0,-9.219317,46.96814514825194,1.0,0.005,0.005,-8.633387247816225,500,46.96814514825194,1.0,2,200.00000010221265,1.0,-8.633387247816225,0.0049999994,,1.0,-8.633387247816225,100,0.9
