BatchSize,AvgEpLen,AvgNormIw,Delta,VarJ,ESSClassic,VarRet,MaxVanillaIw,AvgRet,VarVanillaIw,ESSRenyi,MinVanillaIw,AvgVanillaIw,J,AvgDiscRet,VarNormIw,eRenyi2,EpsThisIter,MinNormIw,VanillaAvgRet,Bound,IterType,VarDiscRet,MaxNormIw
500,200.0,0.0049999994,0.9,7.2106924,200.00000010221265,58.89985442294352,1.0,-9.272746282798584,,500.0,1.0,1.0,-8.122851,-9.272746282798584,2.179301e-19,1.0,100,0.005,-9.272746282798584,-8.686692,2,58.89985442294352,0.005
500,200.0,0.0033333336,0.9,6.9916053,299.999969473632,42.62171826666144,1.0,-7.288620226248795,,500.0,1.0,1.0,-7.8447747,-7.288620226248795,5.4391416e-20,1.0,100,0.0033333334,-7.288620226248795,-8.305149,2,42.62171826666144,0.0033333334
500,200.0,0.0024999997,0.9,6.943067,400.0,46.41444267838282,1.0,-7.294881489866462,,500.0,1.0,1.0,-7.7073007,-7.294881489866462,5.434597e-20,1.0,100,0.0025,-7.294881489866462,-8.105996,2,46.41444267838282,0.0025
500,200.0,0.002,0.9,18.551252,8.58893180105166,51.82904819509811,62.710854,-8.278703120087538,47.56049,11.278077419589103,,0.91082627,-2.9699416,-8.278703120087538,0.00022931639,44.333797,100,,-8.278703120087538,-5.3443413,1,51.82904819509811,0.13770102
500,200.0,0.009999998,0.9,7.6306624,100.0,58.815162641441304,1.0,-8.262962007798084,,500.0,1.0,1.0,-8.262961,-8.262962007798084,3.5044917e-18,1.0,100,0.01,-8.262962007798084,-9.044621,2,58.815162641441304,0.01
500,200.0,0.0049999994,0.9,7.268511,200.00000010221265,47.848987779359426,1.0,-8.623494968001648,,500.0,1.0,1.0,-8.443228,-8.623494968001648,2.179301e-19,1.0,100,0.005,-8.623494968001648,-9.00638,2,47.848987779359426,0.005
500,200.0,0.0033333336,0.9,7.1558156,299.999969473632,48.35498754011395,1.0,-8.090027453263982,,500.0,1.0,1.0,-8.325495,-8.090027453263982,5.4391416e-20,1.0,100,0.0033333334,-8.090027453263982,-8.785307,2,48.35498754011395,0.0033333334
500,200.0,0.0024999997,0.9,7.2508836,400.0,56.715747009224685,1.0,-9.17051386346194,,500.0,1.0,1.0,-8.536749,-9.17051386346194,5.434597e-20,1.0,100,0.0025,-9.17051386346194,-8.935585,2,56.715747009224685,0.0025
500,200.0,0.002,0.9,7.5913606,459.9328742227932,46.396607606238085,2.9963403,-7.270591666114045,0.08777268,443.00495286733025,0.8265128,1.0027626,-8.219968,-7.270591666114045,3.491589e-07,1.1286556,100,0.0016484716,-7.270591666114045,-8.598951,1,46.396607606238085,0.0059761708
500,200.0,0.009999998,0.9,7.044258,100.0,50.12280011270028,1.0,-7.863285863055207,,500.0,1.0,1.0,-7.863286,-7.863285863055207,3.5044917e-18,1.0,100,0.01,-7.863285863055207,-8.631794,2,50.12280011270028,0.01
500,200.0,0.0049999994,0.9,7.2607126,200.00000010221265,56.373225051261194,1.0,-7.961478254647265,,500.0,1.0,1.0,-7.912382,-7.961478254647265,2.179301e-19,1.0,100,0.005,-7.961478254647265,-8.472753,2,56.373225051261194,0.005
