VarVanillaIw,Bound,VarRet,VanillaAvgRet,AvgVanillaIw,VarDiscRet,VarNormIw,J,AvgDiscRet,MinNormIw,eRenyi2,ESSRenyi,MinVanillaIw,ESSClassic,MaxVanillaIw,VarJ,AvgRet,AvgNormIw,AvgEpLen,BatchSize,MaxNormIw
,4811.672,0.02005217831500948,4999.863947281271,1.0,0.02005217831500948,5.431875e-20,4999.8643,4999.863947281271,0.002,1.0,500.0,1.0,500.00000664260017,1.0,0.14146711,4999.863947281271,0.0020000003,500.0,500,0.002
,4811.6704,0.021656947809412637,4999.862543794934,1.0,0.021656947809412637,5.431875e-20,4999.863,4999.862543794934,0.002,1.0,500.0,1.0,500.00000664260017,1.0,0.14700523,4999.862543794934,0.0020000003,500.0,500,0.002
7.279208e-07,4811.65,0.030699192766934554,4999.841506069619,0.99997455,0.030699192766934554,2.9118426e-12,4999.8423,4999.841506069619,0.0019920885,1.0000006,499.99970197695376,0.99601895,499.99963294515834,1.0018575,0.17484358,4999.841506069619,0.002,500.0,500,0.0020037661
1.4908707e-06,4811.6772,0.02075519286278991,4999.869002483579,1.0000242,0.02075519286278991,5.9631926e-12,4999.8696,4999.869002483579,0.0019848244,1.0000008,499.99958276783474,0.9924362,499.9992692095327,1.0024991,0.14371018,4999.869002483579,0.002,500.0,500,0.0020049498
,4811.6597,0.021937464912315175,4999.8514660611345,1.0,0.021937464912315175,5.431875e-20,4999.852,4999.8514660611345,0.002,1.0,500.0,1.0,500.00000664260017,1.0,0.14796074,4999.8514660611345,0.0020000003,500.0,500,0.002
0.0018043711,4810.6543,768.546713951527,4998.619067967809,1.0018286,768.546713951527,7.1911623e-09,4999.01,4998.619067967809,0.0013709791,1.0017365,499.1332442796919,0.686743,499.1044724712336,1.0570016,18.996891,4998.619067967809,0.002,499.878,500,0.0021101446
0.024511494,4805.692,49797.75705853138,4989.875495510706,0.9947518,49797.75705853138,9.908326e-08,4996.034,4989.875495510706,0.00060690305,1.0229784,488.7688613641303,0.30185896,487.9375696949115,1.2453003,85.6105,4989.875495510706,0.002,499.004,500,0.0025037406
,4811.667,0.029805433267333297,4999.858390750084,1.0,0.029805433267333297,5.431875e-20,4999.8594,4999.858390750084,0.002,1.0,500.0,1.0,500.00000664260017,1.0,0.17247175,4999.858390750084,0.0020000003,500.0,500,0.002
0.000362899,4811.343,64.7432003693755,4999.495746969791,0.99952406,64.7432003693755,1.4529791e-09,4999.561,4999.495746969791,0.001642574,1.0002787,499.86068316969266,0.8208961,499.81881161056606,1.0182476,6.604625,4999.495746969791,0.0019999999,499.966,500,0.0020374649
,4811.6763,0.026437935278485168,4999.868266167128,1.0,0.026437935278485168,5.431875e-20,4999.8687,4999.868266167128,0.002,1.0,500.0,1.0,500.00000664260017,1.0,0.16244006,4999.868266167128,0.0020000003,500.0,500,0.002
