MinNormIw,Bound,EpsThisIter,VarVanillaIw,VanillaAvgRet,AvgEpLen,MaxVanillaIw,J,ESSRenyi,BatchSize,VarJ,MinVanillaIw,AvgRet,MaxNormIw,eRenyi2,VarNormIw,VarDiscRet,IterType,Delta,AvgNormIw,VarRet,AvgVanillaIw,ESSClassic,AvgDiscRet
,-6.675459,100,55.517906,-7.697870673420973,200.0,87.277885,-3.850934,7.494958549343088,500,29.143986,,-7.697870673420973,0.19767709,66.71151,0.0002847983,46.80664068132925,1,0.9,0.002,46.80664068132925,0.8830349,6.938934983693049,-7.697870673420973
0.01,-8.621492,100,,-7.852449406786948,200.0,1.0,-7.852449,500.0,500,6.9103484,1.0,-7.852449406786948,0.01,1.0,3.5044917e-18,48.235269962947356,2,0.9,0.009999998,48.235269962947356,1.0,100.0,-7.852449406786948
0.005,-7.496743,100,,-6.0534449261671375,200.0,1.0,-6.952947,500.0,500,6.726691,1.0,-6.0534449261671375,0.005,1.0,2.179301e-19,41.54104095083526,2,0.9,0.0049999994,41.54104095083526,1.0,200.00000010221265,-6.0534449261671375
0.0033333334,-7.552053,100,,-7.406492376530955,200.0,1.0,-7.104129,500.0,500,6.8192806,1.0,-7.406492376530955,0.0033333334,1.0,5.4391416e-20,49.36754441410014,2,0.9,0.0033333336,49.36754441410014,1.0,299.999969473632,-7.406492376530955
0.0025,-7.819703,100,,-8.414773671762665,200.0,1.0,-7.4317894,500.0,500,6.79731,1.0,-8.414773671762665,0.0025,1.0,5.434597e-20,44.46222275439113,2,0.9,0.0024999997,44.46222275439113,1.0,400.0,-8.414773671762665
,-7.4587703,100,3.8580108,-8.00814203318874,200.0,6.0657954,-6.732001,113.95585853674547,500,14.138026,,-8.00814203318874,0.012102849,4.387664,1.5359004e-05,44.74525539781505,1,0.9,0.002,44.74525539781505,1.0023748,103.4752894341241,-8.00814203318874
0.01,-8.083159,100,,-7.3358747020217185,200.0,1.0,-7.3358746,500.0,500,6.2274237,1.0,-7.3358747020217185,0.01,1.0,3.5044917e-18,39.172534040831806,2,0.9,0.009999998,39.172534040831806,1.0,100.0,-7.3358747020217185
0.005,-8.147069,100,,-7.8845190571075525,200.0,1.0,-7.610197,500.0,500,6.583719,1.0,-7.8845190571075525,0.005,1.0,2.179301e-19,48.24182413745379,2,0.9,0.0049999994,48.24182413745379,1.0,200.00000010221265,-7.8845190571075525
0.0033333334,-8.000368,100,,-7.465646603055546,200.0,1.0,-7.562014,500.0,500,6.695929,1.0,-7.465646603055546,0.0033333334,1.0,5.4391416e-20,48.28458494454823,2,0.9,0.0033333336,48.28458494454823,1.0,299.999969473632,-7.465646603055546
0.0025,-8.179071,100,,-8.511743383153684,200.0,1.0,-7.7994456,500.0,500,6.85574,1.0,-8.511743383153684,0.0025,1.0,5.434597e-20,53.355378519216714,2,0.9,0.0024999997,53.355378519216714,1.0,400.0,-8.511743383153684
0.0016911754,-8.188955,100,0.04942598,-8.050634428364027,200.0,3.7136192,-7.8402257,477.6405492673179,500,6.871218,0.8785116,-8.050634428364027,0.0071488884,1.0468123,1.8316287e-07,44.47399454713991,1,0.9,0.0020000006,44.47399454713991,1.0389361,478.14894067469515,-8.050634428364027
0.01,-7.773833,100,,-7.044921246082996,200.0,1.0,-7.0449214,500.0,500,6.5052557,1.0,-7.044921246082996,0.01,1.0,3.5044917e-18,42.74581441839623,2,0.9,0.009999998,42.74581441839623,1.0,100.0,-7.044921246082996
0.005,-7.5558844,100,,-6.974792247181478,200.0,1.0,-7.0098567,500.0,500,6.6547923,1.0,-6.974792247181478,0.005,1.0,2.179301e-19,46.71889540976121,2,0.9,0.0049999994,46.71889540976121,1.0,200.00000010221265,-6.974792247181478
0.0033333334,-7.820377,100,,-8.097895347272493,200.0,1.0,-7.372537,500.0,500,7.000673,1.0,-8.097895347272493,0.0033333334,1.0,5.4391416e-20,58.24900077516546,2,0.9,0.0033333336,58.24900077516546,1.0,299.999969473632,-8.097895347272493
0.0025,-7.8343515,100,,-7.668436484819778,200.0,1.0,-7.4465113,500.0,500,7.0030303,1.0,-7.668436484819778,0.0025,1.0,5.434597e-20,49.57152097495839,2,0.9,0.0024999997,49.57152097495839,1.0,400.0,-7.668436484819778
5.545076e-07,-6.7601013,100,10.8214445,-7.999836744418259,200.0,33.919098,-5.752128,59.219988372601314,500,13.113618,0.00036078857,-7.999836744418259,0.05213136,8.443095,2.5561994e-05,51.415528827168295,1,0.9,0.002,51.415528827168295,1.3012935,67.77165755911203,-7.999836744418259
0.01,-8.786403,100,,-8.020937799117224,200.0,1.0,-8.020938,500.0,500,7.151637,1.0,-8.020937799117224,0.01,1.0,3.5044917e-18,51.662536349814154,2,0.9,0.009999998,51.662536349814154,1.0,100.0,-8.020937799117224
0.005,-8.388958,100,,-7.6744463376231415,200.0,1.0,-7.8476925,500.0,500,7.083001,1.0,-7.6744463376231415,0.005,1.0,2.179301e-19,49.628152356159305,2,0.9,0.0049999994,49.628152356159305,1.0,200.00000010221265,-7.6744463376231415
