eRenyi2,ESSRenyi,VanillaAvgRet,AvgEpLen,ESSClassic,AvgRet,VarJ,VarRet,VarNormIw,MinVanillaIw,AvgDiscRet,AvgNormIw,Bound,BatchSize,MinNormIw,J,VarVanillaIw,VarDiscRet,MaxVanillaIw,MaxNormIw,AvgVanillaIw
1.0000561,499.9719277884974,4999.6946517908455,499.984,499.9731174729261,4999.6946517908455,3.8177712,16.212048936662587,2.1515016e-10,0.94928664,4999.6946517908455,0.002,4811.5073,500,0.0018979468,4999.7046,5.382308e-05,16.212048936662587,1.0093738,0.0020180815,1.0003301
1.0000004,499.9998211861296,4999.862043987737,500.0,499.9997209858344,4999.862043987737,0.13964482,0.019562124443764956,2.0819232e-12,0.9972745,4999.862043987737,0.002,4811.6704,500,0.001994569,4999.863,5.2047335e-07,0.019562124443764956,1.0010382,0.0020020965,0.99999
1.0011863,499.40757694266364,4998.887209256286,499.906,499.32226836785736,4998.887209256286,14.562875,392.200794608356,5.44025e-09,0.73260355,4998.887209256286,0.0019999999,4810.8345,500,0.0014685419,4999.138,0.0013538926,392.200794608356,1.0438169,0.0020923854,0.9977291
1.0,500.0,4999.858229129216,500.0,500.00000664260017,4999.858229129216,0.14691272,0.021626496631817985,5.431875e-20,1.0,4999.858229129216,0.0020000003,4811.6665,500,0.002,4999.859,,0.021626496631817985,1.0,0.002,1.0
1.0048299,497.5966660355216,4989.886995676685,499.004,497.1900838613572,4989.886995676685,201.25867,49797.94209177689,2.2651951e-08,0.87784886,4989.886995676685,0.0019999999,4802.215,500,0.0017549929,4990.861,0.005667537,49797.94209177689,1.4712596,0.0029413379,1.0004016
1.0,500.0,4999.8658367976,500.0,500.00000664260017,4999.8658367976,0.1273739,0.01625525681367664,5.431875e-20,1.0,4999.8658367976,0.0020000003,4811.674,500,0.002,4999.866,,0.01625525681367664,1.0,0.002,1.0
1.0,500.0,4999.854275881408,500.0,500.00000664260017,4999.854275881408,0.16906828,0.028638534844857448,5.431875e-20,1.0,4999.854275881408,0.0020000003,4811.6626,500,0.002,4999.855,,0.028638534844857448,1.0,0.002,1.0
1.0,500.0,4999.880503510192,500.0,500.00000664260017,4999.880503510192,0.14423525,0.020847010364140446,5.431875e-20,1.0,4999.880503510192,0.0020000003,4811.689,500,0.002,4999.8813,,0.020847010364140446,1.0,0.002,1.0
1.0000019,499.9990463275026,4999.861101495507,500.0,499.9999888857278,4999.861101495507,0.14164862,0.02010983430796054,7.740356e-14,0.99950397,4999.861101495507,0.002,4811.6694,500,0.0019990143,4999.862,1.935095e-08,0.02010983430796054,1.0002708,0.002000548,0.99999684
1.0,500.0,4999.871101941299,500.0,500.00000664260017,4999.871101941299,0.15508525,0.024100132578755436,5.431875e-20,1.0,4999.871101941299,0.0020000003,4811.679,500,0.002,4999.8716,,0.024100132578755436,1.0,0.002,1.0
1.0025364,498.7350005380573,4998.198018973368,499.838,498.60351748098526,4998.198018973368,21.999762,1192.809343361304,1.12256835e-08,0.6371323,4998.198018973368,0.0020000003,4810.359,500,0.0012728446,4998.7896,0.0028126864,1192.809343361304,1.0619789,0.002121591,1.0011156
