MaxNormIw,ESSRenyi,BatchSize,VarJ,AvgRet,MinNormIw,IterType,MinVanillaIw,Delta,EpsThisIter,VarVanillaIw,AvgDiscRet,J,VarRet,eRenyi2,VanillaAvgRet,MaxVanillaIw,AvgNormIw,AvgEpLen,VarDiscRet,VarNormIw,Bound,AvgVanillaIw,ESSClassic
nan,nan,400,nan,-8.344868312811982,nan,,0.026329195,0.9,100,nan,-9.883555602407432,nan,59.61700946478185,nan,-8.344868312811982,inf,nan,200.0,56.137548389190094,nan,nan,inf,nan
0.21502791,13.055833455249502,400,15.890446,-8.165700095733825,,1,,0.9,100,15.857849,-8.165700095733825,-2.2856402,56.02071222078545,30.637646,-8.165700095733825,43.06401,0.0025,200.0,56.02071222078545,0.00039537108,-4.9224205,0.5006793,6.24013004468375
0.01,400.0,400,6.5795155,-8.253150610863905,0.01,2,1.0,0.9,100,,-8.253150610863905,-8.25315,43.72729650396951,1.0,-8.253150610863905,1.0,0.009999998,200.0,43.72729650396951,3.5044917e-18,-9.061289,1.0,100.0
0.005,400.0,400,7.1130443,-9.144686385006295,0.005,2,1.0,0.9,100,,-9.144686385006295,-8.698918,58.0842002913334,1.0,-9.144686385006295,1.0,0.0049999994,200.0,58.0842002913334,2.179301e-19,-9.274588,1.0,200.00000010221265
0.0033333334,400.0,400,7.1725125,-7.974744385913531,0.0033333334,2,1.0,0.9,100,,-7.974744385913531,-8.457527,53.327662899013376,1.0,-7.974744385913531,1.0,0.0033333336,200.0,53.327662899013376,5.4391416e-20,-8.928774,1.0,299.999969473632
nan,nan,500,nan,-8.165700095733825,nan,,0.023221245,0.9,100,nan,-7.471555240734297,nan,56.02071222078545,nan,-8.165700095733825,inf,nan,200.0,45.84769722771533,nan,nan,inf,nan
0.14648144,13.557542236214562,500,35.957825,-8.164355361480288,8.8214836e-35,1,4.1334804e-32,0.9,100,37.4576,-8.164355361480288,-5.574754,65.01102235398254,36.87984,-8.164355361480288,68.63677,0.002,200.0,65.01102235398254,0.00017060486,-8.162286,0.9371395,11.476862176514528
0.01,500.0,500,259.2361,-37.84903807549922,0.01,2,1.0,0.9,100,,-37.84903807549922,-37.849037,67882.18671446417,1.0,-37.84903807549922,1.0,0.009999998,200.0,67882.18671446417,3.5044917e-18,-124.98777,1.0,100.0
0.005,500.0,500,294.4859,-63.66176658284214,0.005,2,1.0,0.9,100,,-63.66176658284214,-50.7554,106977.11268360981,1.0,-63.66176658284214,1.0,0.0049999994,200.0,106977.11268360981,2.179301e-19,-116.647354,1.0,200.00000010221265
0.0033333334,500.0,500,264.69153,-32.46927765851861,0.0033333334,2,1.0,0.9,100,,-32.46927765851861,-44.660027,36886.86040095399,1.0,-32.46927765851861,1.0,0.0033333336,200.0,36886.86040095399,5.4391416e-20,-98.46058,1.0,299.999969473632
0.0025,500.0,500,265.12076,-49.18700477184808,0.0025,2,1.0,0.9,100,,-49.18700477184808,-45.79178,71672.64904060798,1.0,-49.18700477184808,1.0,0.0024999997,200.0,71672.64904060798,5.434597e-20,-92.38443,1.0,400.0
0.0027902236,431.81680598973185,500,13.359706,-19.774269774872188,3.606468e-05,1,0.018417383,0.9,100,0.15646549,-19.774269774872188,-12.462787,1990.4835987456765,1.1578984,-19.774269774872188,1.4249015,0.0019999999,200.0,1990.4835987456765,5.999663e-07,-57.30609,1.0213529,434.89924643557504
0.01,500.0,500,9.589757,-9.266791133479451,0.01,2,1.0,0.9,100,,-9.266791133479451,-9.26679,92.89236202030051,1.0,-9.266791133479451,1.0,0.009999998,200.0,92.89236202030051,3.5044917e-18,-10.518381,1.0,100.0
0.005,500.0,500,10.351436,-10.504555591274366,0.005,2,1.0,0.9,100,,-10.504555591274366,-9.8856735,122.80299058544938,1.0,-10.504555591274366,1.0,0.0049999994,200.0,122.80299058544938,2.179301e-19,-11.027991,1.0,200.00000010221265
0.0033333334,500.0,500,10.613059,-11.381360962496753,0.0033333334,2,1.0,0.9,100,,-11.381360962496753,-10.384236,123.34869910815307,1.0,-11.381360962496753,1.0,0.0033333336,200.0,123.34869910815307,5.4391416e-20,-11.316935,1.0,299.999969473632
0.0025,500.0,500,11.176424,-12.172325422648793,0.0025,2,1.0,0.9,100,,-12.172325422648793,-10.831258,160.9503275908134,1.0,-12.172325422648793,1.0,0.0024999997,200.0,160.9503275908134,5.434597e-20,-11.848025,1.0,400.0
0.021801202,69.53107293158227,500,20.737642,-9.736839464771526,,1,,0.9,100,6.2360754,-9.736839464771526,-6.879766,126.36518595874361,7.1910295,-9.736839464771526,10.226444,0.002,200.0,126.36518595874361,2.8341505e-05,-9.655617,0.93815416,61.948611832033784
0.01,500.0,500,8.544867,-9.354854042691905,0.01,2,1.0,0.9,100,,-9.354854042691905,-9.354854,73.7522727141993,1.0,-9.354854042691905,1.0,0.009999998,200.0,73.7522727141993,3.5044917e-18,-10.28805,1.0,100.0
0.005,500.0,500,8.270126,-7.64876463302242,0.005,2,1.0,0.9,100,,-7.64876463302242,-8.501809,62.94936474744601,1.0,-7.64876463302242,1.0,0.0049999994,200.0,62.94936474744601,2.179301e-19,-9.161678,1.0,200.00000010221265
0.0033333334,500.0,500,7.979396,-8.698362143323786,0.0033333334,2,1.0,0.9,100,,-8.698362143323786,-8.5673275,54.74397690959318,1.0,-8.698362143323786,1.0,0.0033333336,200.0,54.74397690959318,5.4391416e-20,-9.106109,1.0,299.999969473632
0.0025,500.0,500,8.023398,-8.68587919522509,0.0025,2,1.0,0.9,100,,-8.68587919522509,-8.596965,67.14833186850373,1.0,-8.68587919522509,1.0,0.0024999997,200.0,67.14833186850373,5.434597e-20,-9.063563,1.0,400.0
0.142245,10.522366893527908,500,21.450201,-9.941907198833132,,1,,0.9,100,44.673225,-9.941907198833132,-3.5230777,67.13242131048895,47.517826,-9.941907198833132,66.94518,0.0020000003,200.0,67.13242131048895,0.00020168915,-6.3999224,0.94126594,9.742514559022343
0.01,500.0,500,8.548492,-9.617647618646863,0.01,2,1.0,0.9,100,,-9.617647618646863,-9.617647,73.8148815252211,1.0,-9.617647618646863,1.0,0.009999998,200.0,73.8148815252211,3.5044917e-18,-10.491811,1.0,100.0
0.005,500.0,500,8.280074,-9.089679859922807,0.005,2,1.0,0.9,100,,-9.089679859922807,-9.353663,64.54864166947202,1.0,-9.089679859922807,1.0,0.0049999994,200.0,64.54864166947202,2.179301e-19,-9.99193,1.0,200.00000010221265
0.0033333334,500.0,500,8.165989,-9.696166346427923,0.0033333334,2,1.0,0.9,100,,-9.696166346427923,-9.467833,63.48753578961156,1.0,-9.696166346427923,1.0,0.0033333336,200.0,63.48753578961156,5.4391416e-20,-9.988975,1.0,299.999969473632
0.0025,500.0,500,8.148716,-8.646847008102858,0.0025,2,1.0,0.9,100,,-8.646847008102858,-9.262585,65.70772517683695,1.0,-8.646847008102858,1.0,0.0024999997,200.0,65.70772517683695,5.434597e-20,-9.713907,1.0,400.0
0.0676323,29.55772112928752,500,35.67681,-7.260966607518805,,1,,0.9,100,12.126733,-7.260966607518805,-5.9467998,56.645576612801385,16.916054,-7.260966607518805,23.910698,0.002,200.0,56.645576612801385,9.702144e-05,-7.6070805,0.70707923,19.835881170163976
