EpsThisIter,AvgEpLen,eRenyi2,MinNormIw,ESSClassic,AvgVanillaIw,VarJ,MaxVanillaIw,BatchSize,Delta,VarDiscRet,AvgRet,ESSRenyi,VanillaAvgRet,AvgNormIw,MaxNormIw,VarRet,MinVanillaIw,Bound,IterType,VarVanillaIw,VarNormIw,AvgDiscRet,J
100,200.0,1.0,0.01,100.0,1.0,6.5384407,1.0,500,0.9,43.1830352693603,-6.76635508080288,500.0,-6.76635508080288,0.009999998,0.01,43.1830352693603,1.0,-7.5256,2,,3.5044917e-18,-6.76635508080288,-6.766355
100,200.0,1.0,0.005,200.00000010221265,1.0,7.039139,1.0,500,0.9,53.827148746316354,-9.23976228229221,500.0,-9.23976228229221,0.0049999994,0.005,53.827148746316354,1.0,-8.546507,2,,2.179301e-19,-9.23976228229221,-8.003058
100,200.0,1.0,0.0033333334,299.999969473632,1.0,6.92485,1.0,500,0.9,44.778625690773545,-7.199159275559163,500.0,-7.199159275559163,0.0033333336,0.0033333334,44.778625690773545,1.0,-8.178816,2,,5.4391416e-20,-7.199159275559163,-7.7350926
100,200.0,1.0,0.0025,400.0,1.0,6.937833,1.0,500,0.9,49.12597355704399,-7.507760810912459,500.0,-7.507760810912459,0.0024999997,0.0025,49.12597355704399,1.0,-8.0639,2,,5.434597e-20,-7.507760810912459,-7.678259
100,200.0,46.442364,,9.701824678313539,0.99563617,26.504372,65.413765,500,0.9,52.188919074345016,-8.467598084030529,10.766032556176238,-8.467598084030529,0.0020000003,0.13140094,52.188919074345016,,-5.9764757,1,50.196987,0.00020255189,-8.467598084030529,-3.6258407
100,200.0,1.0,0.01,100.0,1.0,6.6337647,1.0,500,0.9,44.451346610449754,-7.125487801867134,500.0,-7.125487801867134,0.009999998,0.01,44.451346610449754,1.0,-7.876772,2,,3.5044917e-18,-7.125487801867134,-7.1254873
100,200.0,1.0,0.005,200.00000010221265,1.0,6.985979,1.0,500,0.9,53.65721959972224,-8.10560847648423,500.0,-8.10560847648423,0.0049999994,0.005,53.65721959972224,1.0,-8.164293,2,,2.179301e-19,-8.10560847648423,-7.615547
100,200.0,1.0,0.0033333334,299.999969473632,1.0,6.832511,1.0,500,0.9,42.59749048185446,-8.252308662579615,500.0,-8.252308662579615,0.0033333336,0.0033333334,42.59749048185446,1.0,-8.275851,2,,5.4391416e-20,-8.252308662579615,-7.827802
100,200.0,1.0,0.0025,400.0,1.0,6.906508,1.0,500,0.9,51.16290825296334,-8.190254534745845,500.0,-8.190254534745845,0.0024999997,0.0025,51.16290825296334,1.0,-8.306437,2,,5.434597e-20,-8.190254534745845,-7.9184146
100,200.0,20.246323,,16.57183587870745,0.87315935,20.919024,28.62238,500,0.9,49.2244628692062,-8.398647321322604,24.695842750909478,-8.398647321322604,0.0019999999,0.06556049,49.2244628692062,,-6.3868923,1,22.285265,0.00011692053,-8.398647321322604,-4.8252764
100,200.0,1.0,0.01,100.0,1.0,7.2494283,1.0,500,0.9,53.085057157923565,-8.123035264647093,500.0,-8.123035264647093,0.009999998,0.01,53.085057157923565,1.0,-8.883404,2,,3.5044917e-18,-8.123035264647093,-8.1230345
100,200.0,1.0,0.005,200.00000010221265,1.0,6.9044166,1.0,500,0.9,42.42072449327912,-6.865083678206804,500.0,-6.865083678206804,0.0049999994,0.005,42.42072449327912,1.0,-8.039018,2,,2.179301e-19,-6.865083678206804,-7.4940596
100,200.0,1.0,0.0033333334,299.999969473632,1.0,6.8250337,1.0,500,0.9,44.84163757726102,-7.383934291629206,500.0,-7.383934291629206,0.0033333336,0.0033333334,44.84163757726102,1.0,-7.9023075,2,,5.4391416e-20,-7.383934291629206,-7.457351
100,200.0,1.0,0.0025,400.0,1.0,6.794366,1.0,500,0.9,45.16824517525813,-6.948977056000305,500.0,-6.948977056000305,0.0024999997,0.0025,45.16824517525813,1.0,-7.715601,2,,5.434597e-20,-6.948977056000305,-7.3302574
100,200.0,1.1928642,3.991494e-05,394.39770433879363,1.1646123,7.805148,1.4827945,500,0.9,56.223090746883365,-7.80418105270929,419.1592039950152,-7.80418105270929,0.0019999996,0.0025464173,56.223090746883365,0.023242714,-7.3845024,1,0.36389136,1.0731712e-06,-7.80418105270929,-7.005095
100,200.0,1.0,0.01,100.0,1.0,7.163621,1.0,500,0.9,51.835820929645216,-8.107771430687741,500.0,-8.107771430687741,0.009999998,0.01,51.835820929645216,1.0,-8.884307,2,,3.5044917e-18,-8.107771430687741,-8.107771
100,200.0,1.0,0.005,200.00000010221265,1.0,7.4407125,1.0,500,0.9,59.934868760256784,-8.496187250689301,500.0,-8.496187250689301,0.0049999994,0.005,59.934868760256784,1.0,-8.851073,2,,2.179301e-19,-8.496187250689301,-8.301979
100,200.0,1.0,0.0033333334,299.999969473632,1.0,7.181885,1.0,500,0.9,44.44675121089796,-8.194435863758734,500.0,-8.194435863758734,0.0033333336,0.0033333334,44.44675121089796,1.0,-8.714487,2,,5.4391416e-20,-8.194435863758734,-8.266131
100,200.0,1.0,0.0025,400.0,1.0,7.1145086,1.0,500,0.9,47.63796590029417,-7.398214375196751,500.0,-7.398214375196751,0.0024999997,0.0025,47.63796590029417,1.0,-8.437492,2,,5.434597e-20,-7.398214375196751,-8.049152
