Delta,J,VarRet,AvgNormIw,Bound,MaxVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,MinVanillaIw,EpsThisIter,MinNormIw,MaxNormIw,VarNormIw,ESSRenyi,eRenyi2,AvgDiscRet,BatchSize,ESSClassic,VarVanillaIw,AvgRet,AvgEpLen,VanillaAvgRet,IterType
0.9,-1.534466,46.03989449896916,0.0033333334,-6.4712143,136.47774,11.472745,46.03989449896916,0.942817,,100,,0.4825176,0.0014795491,2.891016707587985,103.76972,-8.046515275442324,300,2.2435686839552034,118.36588,-8.046515275442324,200.0,-8.046515275442324,1
0.9,-8.007704,53.061460946177185,0.009999998,-8.781831,1.0,7.2478166,53.061460946177185,1.0,1.0,100,0.01,0.01,3.5044917e-18,300.0,1.0,-8.007703599209377,300,100.0,,-8.007703599209377,200.0,-8.007703599209377,2
0.9,-7.2927637,41.7612156775671,0.0049999994,-7.840154,1.0,6.888277,41.7612156775671,1.0,1.0,100,0.005,0.005,2.179301e-19,300.0,1.0,-6.577825018297534,300,200.00000010221265,,-6.577825018297534,200.0,-6.577825018297534,2
0.9,nan,46.03989449896916,nan,nan,inf,nan,53.91803424570742,inf,0.0073272022,100,nan,nan,nan,nan,nan,-8.454458946562998,400,nan,nan,-8.046515275442324,200.0,-8.046515275442324,
0.9,-4.9032536,50.02525613066161,0.0025,-6.5604005,18.661367,22.902464,50.02525613066161,0.9751954,,100,,0.047840074,7.454638e-05,33.55288856712591,11.921477,-6.873721423270622,400,31.013515002656217,11.343049,-6.873721423270622,200.0,-6.873721423270622,1
0.9,-8.869964,52.41763090937203,0.009999998,-9.644882,1.0,7.203711,52.41763090937203,1.0,1.0,100,0.01,0.01,3.5044917e-18,400.0,1.0,-8.869964556142307,400,100.0,,-8.869964556142307,200.0,-8.869964556142307,2
0.9,-8.816198,53.838730411280615,0.0049999994,-9.364148,1.0,7.252571,53.838730411280615,1.0,1.0,100,0.005,0.005,2.179301e-19,400.0,1.0,-8.762432161099179,400,200.00000010221265,,-8.762432161099179,200.0,-8.762432161099179,2
0.9,-8.309403,44.18726316683266,0.0033333336,-8.756803,1.0,7.0825143,44.18726316683266,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,400.0,1.0,-7.295812947392726,400,299.999969473632,,-7.295812947392726,200.0,-7.295812947392726,2
0.9,nan,50.02525613066161,nan,nan,inf,nan,46.51658183026,inf,0.05358664,100,nan,nan,nan,nan,nan,-7.357361687912602,500,nan,nan,-6.873721423270622,200.0,-6.873721423270622,
0.9,-2.4952803,55.521204707885865,0.002,-6.2370753,107.26082,25.133533,55.521204707885865,1.3454363,,100,,0.15944391,0.00022261382,6.580999332621436,75.9763,-8.61833104339919,500,8.842958710554138,100.74386,-8.61833104339919,200.0,-8.61833104339919,1
0.9,-7.614981,47.35111755712955,0.009999998,-8.38155,1.0,6.846722,47.35111755712955,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.614981354377386,500,100.0,,-7.614981354377386,200.0,-7.614981354377386,2
0.9,-7.4187155,41.49301569442813,0.0049999994,-7.9607615,1.0,6.634483,41.49301569442813,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.222450560191456,500,200.00000010221265,,-7.222450560191456,200.0,-7.222450560191456,2
0.9,-7.649295,49.45402586823585,0.0033333336,-8.091874,1.0,6.7653832,49.45402586823585,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-8.11045220336835,500,299.999969473632,,-8.11045220336835,200.0,-8.11045220336835,2
0.9,-7.444578,44.75532668560403,0.0024999997,-7.8278627,1.0,6.7476273,44.75532668560403,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-6.830428579688762,500,400.0,,-6.830428579688762,200.0,-6.830428579688762,2
0.9,-4.488339,48.52146715467263,0.002,-6.54825,61.90694,21.837215,48.52146715467263,1.2107395,,100,,0.102263026,0.00011351952,13.85025217915974,36.100426,-7.848882773096433,500,17.051394217885715,41.60178,-7.848882773096433,200.0,-7.848882773096433,1
0.9,-8.399611,55.60211898626507,0.009999998,-9.176681,1.0,7.4193053,55.60211898626507,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-8.399611559776982,500,100.0,,-8.399611559776982,200.0,-8.399611559776982,2
