AvgEpLen,AvgRet,BatchSize,J,VarDiscRet,MaxVanillaIw,eRenyi2,EpsThisIter,AvgNormIw,ESSRenyi,MaxNormIw,Bound,VanillaAvgRet,MinVanillaIw,VarRet,AvgVanillaIw,VarJ,VarNormIw,VarVanillaIw,Delta,MinNormIw,ESSClassic,AvgDiscRet,IterType
200.0,-6.5239259552544855,400,nan,45.76448893533498,inf,nan,100,nan,nan,nan,nan,-6.5239259552544855,0.02938555,47.261922236696535,inf,nan,nan,nan,0.9,nan,nan,-6.909825341006819,
200.0,-8.897944760506693,400,-5.537012,60.274364583744415,12.2845745,8.743432,100,0.0025,45.748625704653925,0.025022386,-6.928743,-8.897944760506693,,60.274364583744415,1.2273585,14.356946,3.763395e-05,9.070737,0.9,,57.09084939518704,-8.897944760506693,1
200.0,-7.4878521631602055,400,-7.487852,47.28942899302554,1.0,1.0,100,0.009999998,400.0,0.01,-8.289797,-7.4878521631602055,1.0,47.28942899302554,1.0,6.842261,3.5044917e-18,,0.9,0.01,100.0,-7.4878521631602055,2
200.0,-8.11372031871235,400,-7.800786,56.521488418684356,1.0,1.0,100,0.0049999994,400.0,0.005,-8.379524,-8.11372031871235,1.0,56.521488418684356,1.0,7.175258,2.179301e-19,,0.9,0.005,200.00000010221265,-8.11372031871235,2
200.0,-8.802044775133142,400,-8.13454,61.99400959880188,1.0,1.0,100,0.0033333336,400.0,0.0033333334,-8.607077,-8.802044775133142,1.0,61.99400959880188,1.0,7.4164476,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.802044775133142,2
200.0,-8.897944760506693,500,nan,58.809674721015895,inf,nan,100,nan,nan,nan,nan,-8.897944760506693,0.0814029,60.274364583744415,inf,nan,nan,nan,0.9,nan,nan,-9.035992940942279,
200.0,-9.81776481632296,500,-5.098315,67.59006010272194,24.301414,17.204004,100,0.002,29.06300135933479,0.042015444,-6.8444343,-9.81776481632296,,67.59006010272194,1.1567848,16.77854,5.1512176e-05,17.232769,0.9,,36.09512116288885,-9.81776481632296,1
200.0,-8.997541054711261,500,-8.997541,65.53052011191826,1.0,1.0,100,0.009999998,500.0,0.01,-9.808181,-8.997541054711261,1.0,65.53052011191826,1.0,8.054516,3.5044917e-18,,0.9,0.01,100.0,-8.997541054711261,2
200.0,-8.59971769693448,500,-8.79863,55.51104991912001,1.0,1.0,100,0.0049999994,500.0,0.005,-9.379406,-8.59971769693448,1.0,55.51104991912001,1.0,7.7430706,2.179301e-19,,0.9,0.005,200.00000010221265,-8.59971769693448,2
200.0,-8.147289984881462,500,-8.581516,48.119770613522014,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-9.055718,-8.147289984881462,1.0,48.119770613522014,1.0,7.479565,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.147289984881462,2
200.0,-8.76843969454917,500,-8.628247,52.4200007241821,1.0,1.0,100,0.0024999997,500.0,0.0025,-9.0389185,-8.76843969454917,1.0,52.4200007241821,1.0,7.412046,5.434597e-20,,0.9,0.0025,400.0,-8.76843969454917,2
200.0,-6.50130407813079,500,-2.9914827,41.56201949301822,96.02586,68.45514,100,0.0019999999,7.304053517884321,0.15011504,-6.0305624,-6.50130407813079,,41.56201949301822,1.2793636,16.755,0.00024599585,100.65976,0.9,,8.015907072154189,-6.50130407813079,1
200.0,-7.226105189212767,500,-7.2261047,44.43953791438639,1.0,1.0,100,0.009999998,500.0,0.01,-8.010634,-7.226105189212767,1.0,44.43953791438639,1.0,6.6328835,3.5044917e-18,,0.9,0.01,100.0,-7.226105189212767,2
200.0,-8.271891055901932,500,-7.7489977,55.411340312321116,1.0,1.0,100,0.0049999994,500.0,0.005,-8.3049755,-8.271891055901932,1.0,55.411340312321116,1.0,7.049794,2.179301e-19,,0.9,0.005,200.00000010221265,-8.271891055901932,2
